fuel,measured,year,data
Koks (1000 t),Transformacija,2003,
Koks (1000 t),Uvoz,2003,61.000
Kurilno olje (1000 t),Izvoz,2003,0.000
Kurilno olje (1000 t),Končna poraba - drugi porabniki,2003,
Kurilno olje (1000 t),Končna poraba - energetski sektor,2003,
Kurilno olje (1000 t),Končna poraba - gospodinjstva,2003,
Kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,52.000
Kurilno olje (1000 t),Končna poraba - promet,2003,
Kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2003,
Kurilno olje (1000 t),Končna poraba - skupaj,2003,52.000
Kurilno olje (1000 t),Kurilnost,2003,39700.000
Kurilno olje (1000 t),Medn. pomorska skladišča,2003,
Kurilno olje (1000 t),Neenergetska raba,2003,
Kurilno olje (1000 t),Oskrba - skupaj,2003,61.000
Kurilno olje (1000 t),Proizvodnja,2003,
Kurilno olje (1000 t),Sprememba zalog,2003,-2.000
Kurilno olje (1000 t),Transformacija,2003,9.000
Kurilno olje (1000 t),Uvoz,2003,63.000
Neosvinčen motorni bencin 95 (1000 t),Izvoz,2003,-16.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - drugi porabniki,2003,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - energetski sektor,2003,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - gospodinjstva,2003,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,5.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,5.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - promet,2003,698.000
Neosvinčen motorni bencin 95 (1000 t),"Končna poraba - promet, od tega železniški",2003,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - skupaj,2003,708.000
Neosvinčen motorni bencin 95 (1000 t),Kurilnost,2003,43850.000
Neosvinčen motorni bencin 95 (1000 t),Medn. pomorska skladišča,2003,
Neosvinčen motorni bencin 95 (1000 t),Neenergetska raba,2003,
Neosvinčen motorni bencin 95 (1000 t),Oskrba - skupaj,2003,708.000
Neosvinčen motorni bencin 95 (1000 t),Proizvodnja,2003,
Neosvinčen motorni bencin 95 (1000 t),Sprememba zalog,2003,-7.000
Neosvinčen motorni bencin 95 (1000 t),Transformacija,2003,
Neosvinčen motorni bencin 95 (1000 t),Uvoz,2003,731.000
Neosvinčen motorni bencin 98 (1000 t),Izvoz,2003,0.000
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - drugi porabniki,2003,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - energetski sektor,2003,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - gospodinjstva,2003,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,0.000
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - promet,2003,40.000
Neosvinčen motorni bencin 98 (1000 t),"Končna poraba - promet, od tega železniški",2003,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - skupaj,2003,40.000
Neosvinčen motorni bencin 98 (1000 t),Kurilnost,2003,43850.000
Neosvinčen motorni bencin 98 (1000 t),Medn. pomorska skladišča,2003,
Neosvinčen motorni bencin 98 (1000 t),Neenergetska raba,2003,
Neosvinčen motorni bencin 98 (1000 t),Oskrba - skupaj,2003,40.000
Neosvinčen motorni bencin 98 (1000 t),Proizvodnja,2003,
Neosvinčen motorni bencin 98 (1000 t),Sprememba zalog,2003,0.000
Neosvinčen motorni bencin 98 (1000 t),Transformacija,2003,
Neosvinčen motorni bencin 98 (1000 t),Uvoz,2003,40.000
Petrolejski koks (1000 t),Izvoz,2003,0.000
Petrolejski koks (1000 t),Končna poraba - drugi porabniki,2003,
Petrolejski koks (1000 t),Končna poraba - energetski sektor,2003,
Petrolejski koks (1000 t),Končna poraba - gospodinjstva,2003,
Petrolejski koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Petrolejski koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,27.000
Petrolejski koks (1000 t),Končna poraba - promet,2003,
Petrolejski koks (1000 t),"Končna poraba - promet, od tega železniški",2003,
Petrolejski koks (1000 t),Končna poraba - skupaj,2003,32.000
Petrolejski koks (1000 t),Kurilnost,2003,33000.000
Petrolejski koks (1000 t),Medn. pomorska skladišča,2003,
Petrolejski koks (1000 t),Neenergetska raba,2003,5.000
Petrolejski koks (1000 t),Oskrba - skupaj,2003,32.000
Petrolejski koks (1000 t),Proizvodnja,2003,
Petrolejski koks (1000 t),Sprememba zalog,2003,-2.000
Petrolejski koks (1000 t),Transformacija,2003,
Petrolejski koks (1000 t),Uvoz,2003,34.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Izvoz,2003,-2.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - drugi porabniki,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - energetski sektor,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - gospodinjstva,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - promet,2003,25.000
Petrolejsko gorivo za reaktivne motorje (1000 t),"Končna poraba - promet, od tega železniški",2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - skupaj,2003,25.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Kurilnost,2003,43540.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Medn. pomorska skladišča,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Neenergetska raba,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Oskrba - skupaj,2003,25.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Proizvodnja,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Sprememba zalog,2003,-1.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Transformacija,2003,
Petrolejsko gorivo za reaktivne motorje (1000 t),Uvoz,2003,28.000
Utekočinjen naftni plin (UNP)  (1000 t),Izvoz,2003,0.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - drugi porabniki,2003,19.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - energetski sektor,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - gospodinjstva,2003,50.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,19.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - promet,2003,
Utekočinjen naftni plin (UNP)  (1000 t),"Končna poraba - promet, od tega železniški",2003,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - skupaj,2003,88.000
Utekočinjen naftni plin (UNP)  (1000 t),Kurilnost,2003,46050.000
Utekočinjen naftni plin (UNP)  (1000 t),Medn. pomorska skladišča,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Neenergetska raba,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Oskrba - skupaj,2003,88.000
Utekočinjen naftni plin (UNP)  (1000 t),Proizvodnja,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Sprememba zalog,2003,0.000
Utekočinjen naftni plin (UNP)  (1000 t),Transformacija,2003,
Utekočinjen naftni plin (UNP)  (1000 t),Uvoz,2003,88.000
Uvoženi lignit (1000 t),Izvoz,2003,
Uvoženi lignit (1000 t),Končna poraba - drugi porabniki,2003,
Uvoženi lignit (1000 t),Končna poraba - energetski sektor,2003,
Uvoženi lignit (1000 t),Končna poraba - gospodinjstva,2003,
Uvoženi lignit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Uvoženi lignit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,
Uvoženi lignit (1000 t),Končna poraba - promet,2003,
Uvoženi lignit (1000 t),"Končna poraba - promet, od tega železniški",2003,
Uvoženi lignit (1000 t),Končna poraba - skupaj,2003,
Uvoženi lignit (1000 t),Kurilnost,2003,
Uvoženi lignit (1000 t),Medn. pomorska skladišča,2003,
Uvoženi lignit (1000 t),Neenergetska raba,2003,
Uvoženi lignit (1000 t),Oskrba - skupaj,2003,
Uvoženi lignit (1000 t),Proizvodnja,2003,
Uvoženi lignit (1000 t),Sprememba zalog,2003,
Uvoženi lignit (1000 t),Transformacija,2003,
Uvoženi lignit (1000 t),Uvoz,2003,
Uvoženi rjavi premog (1000 t),Izvoz,2003,-11.000
Uvoženi rjavi premog (1000 t),Končna poraba - drugi porabniki,2003,
Uvoženi rjavi premog (1000 t),Končna poraba - energetski sektor,2003,
Uvoženi rjavi premog (1000 t),Končna poraba - gospodinjstva,2003,1.000
Uvoženi rjavi premog (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Uvoženi rjavi premog (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,68.000
Uvoženi rjavi premog (1000 t),Končna poraba - promet,2003,0.000
Uvoženi rjavi premog (1000 t),"Končna poraba - promet, od tega železniški",2003,0.000
Uvoženi rjavi premog (1000 t),Končna poraba - skupaj,2003,69.000
Uvoženi rjavi premog (1000 t),Kurilnost,2003,19085.000
Uvoženi rjavi premog (1000 t),Medn. pomorska skladišča,2003,
Uvoženi rjavi premog (1000 t),Neenergetska raba,2003,
Uvoženi rjavi premog (1000 t),Oskrba - skupaj,2003,546.000
Uvoženi rjavi premog (1000 t),Proizvodnja,2003,
Uvoženi rjavi premog (1000 t),Sprememba zalog,2003,43.000
Uvoženi rjavi premog (1000 t),Transformacija,2003,477.000
Uvoženi rjavi premog (1000 t),Uvoz,2003,514.000
White spirit (1000 t),Izvoz,2003,-1.000
White spirit (1000 t),Končna poraba - drugi porabniki,2003,
White spirit (1000 t),Končna poraba - energetski sektor,2003,
White spirit (1000 t),Končna poraba - gospodinjstva,2003,
White spirit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
White spirit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,
White spirit (1000 t),Končna poraba - promet,2003,
White spirit (1000 t),"Končna poraba - promet, od tega železniški",2003,
White spirit (1000 t),Končna poraba - skupaj,2003,6.000
White spirit (1000 t),Kurilnost,2003,43600.000
White spirit (1000 t),Medn. pomorska skladišča,2003,
White spirit (1000 t),Neenergetska raba,2003,6.000
White spirit (1000 t),Oskrba - skupaj,2003,6.000
White spirit (1000 t),Proizvodnja,2003,
White spirit (1000 t),Sprememba zalog,2003,0.000
White spirit (1000 t),Transformacija,2003,
White spirit (1000 t),Uvoz,2003,7.000
Zemeljski plin (mio Sm3),Izvoz,2003,
Zemeljski plin (mio Sm3),Končna poraba - drugi porabniki,2003,59.000
Zemeljski plin (mio Sm3),Končna poraba - energetski sektor,2003,5.000
Zemeljski plin (mio Sm3),Končna poraba - gospodinjstva,2003,106.000
Zemeljski plin (mio Sm3),Končna poraba - kmetijstvo in gozdarstvo,2003,
Zemeljski plin (mio Sm3),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,613.000
Zemeljski plin (mio Sm3),Končna poraba - promet,2003,
Zemeljski plin (mio Sm3),"Končna poraba - promet, od tega železniški",2003,
Zemeljski plin (mio Sm3),Končna poraba - skupaj,2003,934.000
Zemeljski plin (mio Sm3),Kurilnost,2003,34076.000
Zemeljski plin (mio Sm3),Medn. pomorska skladišča,2003,
Zemeljski plin (mio Sm3),Neenergetska raba,2003,151.000
Zemeljski plin (mio Sm3),Oskrba - skupaj,2003,1114.000
Zemeljski plin (mio Sm3),Proizvodnja,2003,5.000
Zemeljski plin (mio Sm3),Sprememba zalog,2003,
Zemeljski plin (mio Sm3),Transformacija,2003,180.000
Zemeljski plin (mio Sm3),Uvoz,2003,1109.000
Črni premog in antracit (1000 t),Izvoz,2003,
Črni premog in antracit (1000 t),Končna poraba - drugi porabniki,2003,
Črni premog in antracit (1000 t),Končna poraba - energetski sektor,2003,
Črni premog in antracit (1000 t),Končna poraba - gospodinjstva,2003,
Črni premog in antracit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2003,
Črni premog in antracit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2003,41.000
Črni premog in antracit (1000 t),Končna poraba - promet,2003,
Črni premog in antracit (1000 t),"Končna poraba - promet, od tega železniški",2003,
Črni premog in antracit (1000 t),Končna poraba - skupaj,2003,54.000
Črni premog in antracit (1000 t),Kurilnost,2003,25011.000
Črni premog in antracit (1000 t),Medn. pomorska skladišča,2003,
Črni premog in antracit (1000 t),Neenergetska raba,2003,13.000
Črni premog in antracit (1000 t),Oskrba - skupaj,2003,54.000
Črni premog in antracit (1000 t),Proizvodnja,2003,
Črni premog in antracit (1000 t),Sprememba zalog,2003,
Črni premog in antracit (1000 t),Transformacija,2003,
Črni premog in antracit (1000 t),Uvoz,2003,54.000
Biobencin (1000 t),Izvoz,2004,
Biobencin (1000 t),Končna poraba - drugi porabniki,2004,
Biobencin (1000 t),Končna poraba - energetski sektor,2004,
Biobencin (1000 t),Končna poraba - gospodinjstva,2004,
Biobencin (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Biobencin (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,
Biobencin (1000 t),Končna poraba - promet,2004,
Biobencin (1000 t),"Končna poraba - promet, od tega železniški",2004,
Biobencin (1000 t),Končna poraba - skupaj,2004,
Biobencin (1000 t),Kurilnost,2004,
Biobencin (1000 t),Medn. pomorska skladišča,2004,
Biobencin (1000 t),Neenergetska raba,2004,
Biobencin (1000 t),Oskrba - skupaj,2004,
Biobencin (1000 t),Proizvodnja,2004,
Biobencin (1000 t),Sprememba zalog,2004,
Biobencin (1000 t),Transformacija,2004,
Biobencin (1000 t),Uvoz,2004,
Biodizelsko gorivo (1000 t),Izvoz,2004,
Biodizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2004,
Biodizelsko gorivo (1000 t),Končna poraba - energetski sektor,2004,
Biodizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2004,
Biodizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Biodizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,
Biodizelsko gorivo (1000 t),Končna poraba - promet,2004,
Biodizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2004,
Biodizelsko gorivo (1000 t),Končna poraba - skupaj,2004,
Biodizelsko gorivo (1000 t),Kurilnost,2004,
Biodizelsko gorivo (1000 t),Medn. pomorska skladišča,2004,
Biodizelsko gorivo (1000 t),Neenergetska raba,2004,
Biodizelsko gorivo (1000 t),Oskrba - skupaj,2004,
Biodizelsko gorivo (1000 t),Proizvodnja,2004,
Biodizelsko gorivo (1000 t),Sprememba zalog,2004,
Biodizelsko gorivo (1000 t),Transformacija,2004,
Biodizelsko gorivo (1000 t),Uvoz,2004,
Dizelsko gorivo (1000 t),Izvoz,2004,-61.000
Dizelsko gorivo (1000 t),Končna poraba - drugi porabniki,2004,
Dizelsko gorivo (1000 t),Končna poraba - energetski sektor,2004,
Dizelsko gorivo (1000 t),Končna poraba - gospodinjstva,2004,
Dizelsko gorivo (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,68.000
Dizelsko gorivo (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,42.000
Dizelsko gorivo (1000 t),Končna poraba - promet,2004,640.000
Dizelsko gorivo (1000 t),"Končna poraba - promet, od tega železniški",2004,12.000
Dizelsko gorivo (1000 t),Končna poraba - skupaj,2004,750.000
Dizelsko gorivo (1000 t),Kurilnost,2004,42600.000
Dizelsko gorivo (1000 t),Medn. pomorska skladišča,2004,
Dizelsko gorivo (1000 t),Neenergetska raba,2004,
Dizelsko gorivo (1000 t),Oskrba - skupaj,2004,750.000
Dizelsko gorivo (1000 t),Proizvodnja,2004,
Dizelsko gorivo (1000 t),Sprememba zalog,2004,-19.000
Dizelsko gorivo (1000 t),Transformacija,2004,
Dizelsko gorivo (1000 t),Uvoz,2004,830.000
Domači lignit (1000 t),Izvoz,2004,
Domači lignit (1000 t),Končna poraba - drugi porabniki,2004,
Domači lignit (1000 t),Končna poraba - energetski sektor,2004,
Domači lignit (1000 t),Končna poraba - gospodinjstva,2004,
Domači lignit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Domači lignit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,
Domači lignit (1000 t),Končna poraba - promet,2004,
Domači lignit (1000 t),"Končna poraba - promet, od tega železniški",2004,
Domači lignit (1000 t),Končna poraba - skupaj,2004,
Domači lignit (1000 t),Kurilnost,2004,10330.000
Domači lignit (1000 t),Medn. pomorska skladišča,2004,
Domači lignit (1000 t),Neenergetska raba,2004,
Domači lignit (1000 t),Oskrba - skupaj,2004,4174.000
Domači lignit (1000 t),Proizvodnja,2004,4198.000
Domači lignit (1000 t),Sprememba zalog,2004,-24.000
Domači lignit (1000 t),Transformacija,2004,4174.000
Domači lignit (1000 t),Uvoz,2004,
Domači rjavi premog (1000 t),Izvoz,2004,
Domači rjavi premog (1000 t),Končna poraba - drugi porabniki,2004,
Domači rjavi premog (1000 t),Končna poraba - energetski sektor,2004,
Domači rjavi premog (1000 t),Končna poraba - gospodinjstva,2004,0.000
Domači rjavi premog (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Domači rjavi premog (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,
Domači rjavi premog (1000 t),Končna poraba - promet,2004,
Domači rjavi premog (1000 t),"Končna poraba - promet, od tega železniški",2004,
Domači rjavi premog (1000 t),Končna poraba - skupaj,2004,0.000
Domači rjavi premog (1000 t),Kurilnost,2004,11324.000
Domači rjavi premog (1000 t),Medn. pomorska skladišča,2004,
Domači rjavi premog (1000 t),Neenergetska raba,2004,
Domači rjavi premog (1000 t),Oskrba - skupaj,2004,605.000
Domači rjavi premog (1000 t),Proizvodnja,2004,611.000
Domači rjavi premog (1000 t),Sprememba zalog,2004,-6.000
Domači rjavi premog (1000 t),Transformacija,2004,605.000
Domači rjavi premog (1000 t),Uvoz,2004,
Ekstra lahko kurilno olje (1000 t),Izvoz,2004,-20.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - drugi porabniki,2004,219.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - energetski sektor,2004,
Ekstra lahko kurilno olje (1000 t),Končna poraba - gospodinjstva,2004,397.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Ekstra lahko kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,58.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - promet,2004,
Ekstra lahko kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2004,
Ekstra lahko kurilno olje (1000 t),Končna poraba - skupaj,2004,675.000
Ekstra lahko kurilno olje (1000 t),Kurilnost,2004,42600.000
Ekstra lahko kurilno olje (1000 t),Medn. pomorska skladišča,2004,
Ekstra lahko kurilno olje (1000 t),Neenergetska raba,2004,1.000
Ekstra lahko kurilno olje (1000 t),Oskrba - skupaj,2004,681.000
Ekstra lahko kurilno olje (1000 t),Proizvodnja,2004,
Ekstra lahko kurilno olje (1000 t),Sprememba zalog,2004,11.000
Ekstra lahko kurilno olje (1000 t),Transformacija,2004,6.000
Ekstra lahko kurilno olje (1000 t),Uvoz,2004,690.000
Koks (1000 t),Izvoz,2004,
Koks (1000 t),Končna poraba - drugi porabniki,2004,
Koks (1000 t),Končna poraba - energetski sektor,2004,
Koks (1000 t),Končna poraba - gospodinjstva,2004,
Koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,32.000
Koks (1000 t),Končna poraba - promet,2004,
Koks (1000 t),"Končna poraba - promet, od tega železniški",2004,
Koks (1000 t),Končna poraba - skupaj,2004,63.000
Koks (1000 t),Kurilnost,2004,29529.000
Koks (1000 t),Medn. pomorska skladišča,2004,
Koks (1000 t),Neenergetska raba,2004,31.000
Koks (1000 t),Oskrba - skupaj,2004,63.000
Koks (1000 t),Proizvodnja,2004,
Koks (1000 t),Sprememba zalog,2004,3.000
Koks (1000 t),Transformacija,2004,
Koks (1000 t),Uvoz,2004,60.000
Kurilno olje (1000 t),Izvoz,2004,-2.000
Kurilno olje (1000 t),Končna poraba - drugi porabniki,2004,
Kurilno olje (1000 t),Končna poraba - energetski sektor,2004,
Kurilno olje (1000 t),Končna poraba - gospodinjstva,2004,
Kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,45.000
Kurilno olje (1000 t),Končna poraba - promet,2004,
Kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2004,
Kurilno olje (1000 t),Končna poraba - skupaj,2004,45.000
Kurilno olje (1000 t),Kurilnost,2004,39700.000
Kurilno olje (1000 t),Medn. pomorska skladišča,2004,
Kurilno olje (1000 t),Neenergetska raba,2004,
Kurilno olje (1000 t),Oskrba - skupaj,2004,52.000
Kurilno olje (1000 t),Proizvodnja,2004,
Kurilno olje (1000 t),Sprememba zalog,2004,2.000
Kurilno olje (1000 t),Transformacija,2004,7.000
Kurilno olje (1000 t),Uvoz,2004,52.000
Neosvinčen motorni bencin 95 (1000 t),Izvoz,2004,-18.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - drugi porabniki,2004,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - energetski sektor,2004,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - gospodinjstva,2004,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,4.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,4.000
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - promet,2004,621.000
Neosvinčen motorni bencin 95 (1000 t),"Končna poraba - promet, od tega železniški",2004,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - skupaj,2004,629.000
Neosvinčen motorni bencin 95 (1000 t),Kurilnost,2004,43850.000
Neosvinčen motorni bencin 95 (1000 t),Medn. pomorska skladišča,2004,
Neosvinčen motorni bencin 95 (1000 t),Neenergetska raba,2004,
Neosvinčen motorni bencin 95 (1000 t),Oskrba - skupaj,2004,629.000
Neosvinčen motorni bencin 95 (1000 t),Proizvodnja,2004,
Neosvinčen motorni bencin 95 (1000 t),Sprememba zalog,2004,-22.000
Neosvinčen motorni bencin 95 (1000 t),Transformacija,2004,
Neosvinčen motorni bencin 95 (1000 t),Uvoz,2004,669.000
Neosvinčen motorni bencin 98 (1000 t),Izvoz,2004,0.000
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - drugi porabniki,2004,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - energetski sektor,2004,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - gospodinjstva,2004,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,0.000
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - promet,2004,39.000
Neosvinčen motorni bencin 98 (1000 t),"Končna poraba - promet, od tega železniški",2004,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - skupaj,2004,39.000
Neosvinčen motorni bencin 98 (1000 t),Kurilnost,2004,43850.000
Neosvinčen motorni bencin 98 (1000 t),Medn. pomorska skladišča,2004,
Neosvinčen motorni bencin 98 (1000 t),Neenergetska raba,2004,
Neosvinčen motorni bencin 98 (1000 t),Oskrba - skupaj,2004,39.000
Neosvinčen motorni bencin 98 (1000 t),Proizvodnja,2004,
Neosvinčen motorni bencin 98 (1000 t),Sprememba zalog,2004,0.000
Neosvinčen motorni bencin 98 (1000 t),Transformacija,2004,
Neosvinčen motorni bencin 98 (1000 t),Uvoz,2004,39.000
Petrolejski koks (1000 t),Izvoz,2004,0.000
Petrolejski koks (1000 t),Končna poraba - drugi porabniki,2004,
Petrolejski koks (1000 t),Končna poraba - energetski sektor,2004,
Petrolejski koks (1000 t),Končna poraba - gospodinjstva,2004,
Petrolejski koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Petrolejski koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,41.000
Petrolejski koks (1000 t),Končna poraba - promet,2004,
Petrolejski koks (1000 t),"Končna poraba - promet, od tega železniški",2004,
Petrolejski koks (1000 t),Končna poraba - skupaj,2004,101.000
Petrolejski koks (1000 t),Kurilnost,2004,34116.000
Petrolejski koks (1000 t),Medn. pomorska skladišča,2004,
Petrolejski koks (1000 t),Neenergetska raba,2004,60.000
Petrolejski koks (1000 t),Oskrba - skupaj,2004,101.000
Petrolejski koks (1000 t),Proizvodnja,2004,
Petrolejski koks (1000 t),Sprememba zalog,2004,-5.000
Petrolejski koks (1000 t),Transformacija,2004,
Petrolejski koks (1000 t),Uvoz,2004,106.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Izvoz,2004,-1.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - drugi porabniki,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - energetski sektor,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - gospodinjstva,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - promet,2004,19.000
Petrolejsko gorivo za reaktivne motorje (1000 t),"Končna poraba - promet, od tega železniški",2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - skupaj,2004,19.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Kurilnost,2004,43540.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Medn. pomorska skladišča,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Neenergetska raba,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Oskrba - skupaj,2004,19.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Proizvodnja,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Sprememba zalog,2004,-2.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Transformacija,2004,
Petrolejsko gorivo za reaktivne motorje (1000 t),Uvoz,2004,22.000
Utekočinjen naftni plin (UNP)  (1000 t),Izvoz,2004,0.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - drugi porabniki,2004,20.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - energetski sektor,2004,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - gospodinjstva,2004,43.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2004,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2004,20.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - promet,2004,
Utekočinjen naftni plin (UNP)  (1000 t),"Končna poraba - promet, od tega železniški",2004,
