fuel,measured,year,data
Ekstra lahko kurilno olje (1000 t),Končna poraba - energetski sektor,2000,
Ekstra lahko kurilno olje (1000 t),Končna poraba - gospodinjstva,2000,334.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Ekstra lahko kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,129.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - promet,2000,
Ekstra lahko kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2000,
Ekstra lahko kurilno olje (1000 t),Končna poraba - skupaj,2000,700.000
Ekstra lahko kurilno olje (1000 t),Kurilnost,2000,42600.000
Ekstra lahko kurilno olje (1000 t),Medn. pomorska skladišča,2000,
Ekstra lahko kurilno olje (1000 t),Neenergetska raba,2000,
Ekstra lahko kurilno olje (1000 t),Oskrba - skupaj,2000,706.000
Ekstra lahko kurilno olje (1000 t),Proizvodnja,2000,31.000
Ekstra lahko kurilno olje (1000 t),Sprememba zalog,2000,-21.000
Ekstra lahko kurilno olje (1000 t),Transformacija,2000,6.000
Ekstra lahko kurilno olje (1000 t),Uvoz,2000,738.000
Koks (1000 t),Izvoz,2000,
Koks (1000 t),Končna poraba - drugi porabniki,2000,
Koks (1000 t),Končna poraba - energetski sektor,2000,
Koks (1000 t),Končna poraba - gospodinjstva,2000,
Koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,72.000
Koks (1000 t),Končna poraba - promet,2000,
Koks (1000 t),"Končna poraba - promet, od tega železniški",2000,
Koks (1000 t),Končna poraba - skupaj,2000,72.000
Koks (1000 t),Kurilnost,2000,29322.000
Koks (1000 t),Medn. pomorska skladišča,2000,
Koks (1000 t),Neenergetska raba,2000,
Koks (1000 t),Oskrba - skupaj,2000,72.000
Koks (1000 t),Proizvodnja,2000,
Koks (1000 t),Sprememba zalog,2000,0.000
Koks (1000 t),Transformacija,2000,
Koks (1000 t),Uvoz,2000,72.000
Kurilno olje (1000 t),Izvoz,2000,-3.000
Kurilno olje (1000 t),Končna poraba - drugi porabniki,2000,7.000
Kurilno olje (1000 t),Končna poraba - energetski sektor,2000,14.000
Kurilno olje (1000 t),Končna poraba - gospodinjstva,2000,
Kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,96.000
Kurilno olje (1000 t),Končna poraba - promet,2000,
Kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2000,
Kurilno olje (1000 t),Končna poraba - skupaj,2000,117.000
Kurilno olje (1000 t),Kurilnost,2000,39700.000
Kurilno olje (1000 t),Medn. pomorska skladišča,2000,
Kurilno olje (1000 t),Neenergetska raba,2000,
Kurilno olje (1000 t),Oskrba - skupaj,2000,127.000
Kurilno olje (1000 t),Proizvodnja,2000,42.000
Kurilno olje (1000 t),Sprememba zalog,2000,0.000
Kurilno olje (1000 t),Transformacija,2000,10.000
Kurilno olje (1000 t),Uvoz,2000,88.000
Neosvinčen motorni bencin 95 (1000 t),Izvoz,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - drugi porabniki,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - energetski sektor,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - gospodinjstva,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - promet,2000,
Neosvinčen motorni bencin 95 (1000 t),"Končna poraba - promet, od tega železniški",2000,
Neosvinčen motorni bencin 95 (1000 t),Končna poraba - skupaj,2000,
Neosvinčen motorni bencin 95 (1000 t),Kurilnost,2000,43850.000
Neosvinčen motorni bencin 95 (1000 t),Medn. pomorska skladišča,2000,
Neosvinčen motorni bencin 95 (1000 t),Neenergetska raba,2000,
Neosvinčen motorni bencin 95 (1000 t),Oskrba - skupaj,2000,
Neosvinčen motorni bencin 95 (1000 t),Proizvodnja,2000,
Neosvinčen motorni bencin 95 (1000 t),Sprememba zalog,2000,
Neosvinčen motorni bencin 95 (1000 t),Transformacija,2000,
Neosvinčen motorni bencin 95 (1000 t),Uvoz,2000,
Neosvinčen motorni bencin 98 (1000 t),Izvoz,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - drugi porabniki,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - energetski sektor,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - gospodinjstva,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - promet,2000,
Neosvinčen motorni bencin 98 (1000 t),"Končna poraba - promet, od tega železniški",2000,
Neosvinčen motorni bencin 98 (1000 t),Končna poraba - skupaj,2000,
Neosvinčen motorni bencin 98 (1000 t),Kurilnost,2000,43850.000
Neosvinčen motorni bencin 98 (1000 t),Medn. pomorska skladišča,2000,
Neosvinčen motorni bencin 98 (1000 t),Neenergetska raba,2000,
Neosvinčen motorni bencin 98 (1000 t),Oskrba - skupaj,2000,
Neosvinčen motorni bencin 98 (1000 t),Proizvodnja,2000,
Neosvinčen motorni bencin 98 (1000 t),Sprememba zalog,2000,
Neosvinčen motorni bencin 98 (1000 t),Transformacija,2000,
Neosvinčen motorni bencin 98 (1000 t),Uvoz,2000,
Petrolejski koks (1000 t),Izvoz,2000,
Petrolejski koks (1000 t),Končna poraba - drugi porabniki,2000,
Petrolejski koks (1000 t),Končna poraba - energetski sektor,2000,
Petrolejski koks (1000 t),Končna poraba - gospodinjstva,2000,
Petrolejski koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Petrolejski koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Petrolejski koks (1000 t),Končna poraba - promet,2000,
Petrolejski koks (1000 t),"Končna poraba - promet, od tega železniški",2000,
Petrolejski koks (1000 t),Končna poraba - skupaj,2000,
Petrolejski koks (1000 t),Kurilnost,2000,
Petrolejski koks (1000 t),Medn. pomorska skladišča,2000,
Petrolejski koks (1000 t),Neenergetska raba,2000,
Petrolejski koks (1000 t),Oskrba - skupaj,2000,
Petrolejski koks (1000 t),Proizvodnja,2000,
Petrolejski koks (1000 t),Sprememba zalog,2000,
Petrolejski koks (1000 t),Transformacija,2000,
Petrolejski koks (1000 t),Uvoz,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Izvoz,2000,0.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - drugi porabniki,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - energetski sektor,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - gospodinjstva,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - promet,2000,24.000
Petrolejsko gorivo za reaktivne motorje (1000 t),"Končna poraba - promet, od tega železniški",2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Končna poraba - skupaj,2000,24.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Kurilnost,2000,43540.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Medn. pomorska skladišča,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Neenergetska raba,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Oskrba - skupaj,2000,24.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Proizvodnja,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Sprememba zalog,2000,0.000
Petrolejsko gorivo za reaktivne motorje (1000 t),Transformacija,2000,
Petrolejsko gorivo za reaktivne motorje (1000 t),Uvoz,2000,24.000
Utekočinjen naftni plin (UNP)  (1000 t),Izvoz,2000,0.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - drugi porabniki,2000,39.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - energetski sektor,2000,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - gospodinjstva,2000,41.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2000,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2000,12.000
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - promet,2000,
Utekočinjen naftni plin (UNP)  (1000 t),"Končna poraba - promet, od tega železniški",2000,
Utekočinjen naftni plin (UNP)  (1000 t),Končna poraba - skupaj,2000,92.000
Utekočinjen naftni plin (UNP)  (1000 t),Kurilnost,2000,46050.000
Utekočinjen naftni plin (UNP)  (1000 t),Medn. pomorska skladišča,2000,
Utekočinjen naftni plin (UNP)  (1000 t),Neenergetska raba,2000,
Utekočinjen naftni plin (UNP)  (1000 t),Oskrba - skupaj,2000,92.000
