supply_and_consumption,year,energy_source,data
Končna poraba-Energetski sektor,2005,Energetski viri-SKUPAJ,686
Končna poraba-Energetski sektor,2005,"Geoterm., sončna itd.",0
Končna poraba-Energetski sektor,2005,Hidro energija,
Končna poraba-Energetski sektor,2005,Naftni proizvodi,0
Končna poraba-Energetski sektor,2005,Nuklearna energija,
Končna poraba-Energetski sektor,2005,Obnovljivi viri in odpadki,0
Končna poraba-Energetski sektor,2005,Surova nafta,
Končna poraba-Energetski sektor,2005,Toplota,74
Končna poraba-Energetski sektor,2005,Trdna goriva,0
Končna poraba-Energetski sektor,2005,Zemeljski plin,148
Končna poraba-Gospodinjstva,2005,Električna energija,10624
Končna poraba-Gospodinjstva,2005,Energetski viri-SKUPAJ,59632
Končna poraba-Gospodinjstva,2005,"Geoterm., sončna itd.",306
Končna poraba-Gospodinjstva,2005,Hidro energija,
Končna poraba-Gospodinjstva,2005,Naftni proizvodi,16769
Končna poraba-Gospodinjstva,2005,Nuklearna energija,
Končna poraba-Gospodinjstva,2005,Obnovljivi viri in odpadki,23254
Končna poraba-Gospodinjstva,2005,Surova nafta,
Končna poraba-Gospodinjstva,2005,Toplota,4553
Končna poraba-Gospodinjstva,2005,Trdna goriva,0
Končna poraba-Gospodinjstva,2005,Zemeljski plin,4126
Končna poraba-Kmetijstvo in gozdarstvo,2005,Električna energija,0
Končna poraba-Kmetijstvo in gozdarstvo,2005,Energetski viri-SKUPAJ,3115
Končna poraba-Kmetijstvo in gozdarstvo,2005,"Geoterm., sončna itd.",0
Končna poraba-Kmetijstvo in gozdarstvo,2005,Hidro energija,
Končna poraba-Kmetijstvo in gozdarstvo,2005,Naftni proizvodi,3115
Končna poraba-Kmetijstvo in gozdarstvo,2005,Nuklearna energija,
Končna poraba-Kmetijstvo in gozdarstvo,2005,Obnovljivi viri in odpadki,0
Končna poraba-Kmetijstvo in gozdarstvo,2005,Surova nafta,
Končna poraba-Kmetijstvo in gozdarstvo,2005,Toplota,0
Končna poraba-Kmetijstvo in gozdarstvo,2005,Trdna goriva,0
Končna poraba-Kmetijstvo in gozdarstvo,2005,Zemeljski plin,0
Končna poraba-Neenergetska raba,2005,Električna energija,
Končna poraba-Neenergetska raba,2005,Energetski viri-SKUPAJ,8782
Končna poraba-Neenergetska raba,2005,"Geoterm., sončna itd.",
Končna poraba-Neenergetska raba,2005,Hidro energija,
Končna poraba-Neenergetska raba,2005,Naftni proizvodi,2420
Končna poraba-Neenergetska raba,2005,Nuklearna energija,
Končna poraba-Neenergetska raba,2005,Obnovljivi viri in odpadki,
Končna poraba-Neenergetska raba,2005,Surova nafta,
Končna poraba-Neenergetska raba,2005,Toplota,
Končna poraba-Neenergetska raba,2005,Trdna goriva,1092
Končna poraba-Neenergetska raba,2005,Zemeljski plin,5270
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Električna energija,25819
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Energetski viri-SKUPAJ,68960
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,"Geoterm., sončna itd.",0
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Hidro energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Naftni proizvodi,9303
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Nuklearna energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Obnovljivi viri in odpadki,5250
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Surova nafta,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Toplota,2592
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Trdna goriva,3350
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2005,Zemeljski plin,22646
Končna poraba-Promet,2005,Električna energija,709
Končna poraba-Promet,2005,Energetski viri-SKUPAJ,61505
Končna poraba-Promet,2005,"Geoterm., sončna itd.",
Končna poraba-Promet,2005,Hidro energija,
Končna poraba-Promet,2005,Naftni proizvodi,60793
Končna poraba-Promet,2005,Nuklearna energija,
Končna poraba-Promet,2005,Obnovljivi viri in odpadki,0
Končna poraba-Promet,2005,Surova nafta,
Končna poraba-Promet,2005,Toplota,
Končna poraba-Promet,2005,Trdna goriva,3
Končna poraba-Promet,2005,Zemeljski plin,0
Lastna raba in izgube,2005,Električna energija,-6919
Lastna raba in izgube,2005,Energetski viri-SKUPAJ,-8755
Lastna raba in izgube,2005,"Geoterm., sončna itd.",
Lastna raba in izgube,2005,Hidro energija,
Lastna raba in izgube,2005,Naftni proizvodi,
Lastna raba in izgube,2005,Nuklearna energija,
Lastna raba in izgube,2005,Obnovljivi viri in odpadki,
Lastna raba in izgube,2005,Surova nafta,0
Lastna raba in izgube,2005,Toplota,-1836
Lastna raba in izgube,2005,Trdna goriva,
Lastna raba in izgube,2005,Zemeljski plin,
Medn. pomorska skladiča,2005,Električna energija,
Medn. pomorska skladiča,2005,Energetski viri-SKUPAJ,-851
Medn. pomorska skladiča,2005,"Geoterm., sončna itd.",
Medn. pomorska skladiča,2005,Hidro energija,
Medn. pomorska skladiča,2005,Naftni proizvodi,-851
Medn. pomorska skladiča,2005,Nuklearna energija,
Medn. pomorska skladiča,2005,Obnovljivi viri in odpadki,0
Medn. pomorska skladiča,2005,Surova nafta,
Medn. pomorska skladiča,2005,Toplota,
Medn. pomorska skladiča,2005,Trdna goriva,
Medn. pomorska skladiča,2005,Zemeljski plin,
Oskrba z energijo,2005,Električna energija,-1168
Oskrba z energijo,2005,Energetski viri-SKUPAJ,311729
Oskrba z energijo,2005,"Geoterm., sončna itd.",306
Oskrba z energijo,2005,Hidro energija,12460
Oskrba z energijo,2005,Naftni proizvodi,102713
Oskrba z energijo,2005,Nuklearna energija,64189
Oskrba z energijo,2005,Obnovljivi viri in odpadki,30164
Oskrba z energijo,2005,Surova nafta,0
Oskrba z energijo,2005,Toplota,0
Oskrba z energijo,2005,Trdna goriva,64165
Oskrba z energijo,2005,Zemeljski plin,38900
Reklasifikacije,2005,Električna energija,
Reklasifikacije,2005,Energetski viri-SKUPAJ,
Reklasifikacije,2005,"Geoterm., sončna itd.",
Reklasifikacije,2005,Hidro energija,
Reklasifikacije,2005,Naftni proizvodi,
Reklasifikacije,2005,Nuklearna energija,
Reklasifikacije,2005,Obnovljivi viri in odpadki,
Reklasifikacije,2005,Surova nafta,
Reklasifikacije,2005,Toplota,
Reklasifikacije,2005,Trdna goriva,
Reklasifikacije,2005,Zemeljski plin,
Spremembe zalog,2005,Električna energija,
Spremembe zalog,2005,Energetski viri-SKUPAJ,-124
Spremembe zalog,2005,"Geoterm., sončna itd.",
Spremembe zalog,2005,Hidro energija,
Spremembe zalog,2005,Naftni proizvodi,-1408
Spremembe zalog,2005,Nuklearna energija,
Spremembe zalog,2005,Obnovljivi viri in odpadki,0
Spremembe zalog,2005,Surova nafta,0
Spremembe zalog,2005,Toplota,
Spremembe zalog,2005,Trdna goriva,1284
Spremembe zalog,2005,Zemeljski plin,
Statistične razlike,2005,Električna energija,-1
Statistične razlike,2005,Energetski viri-SKUPAJ,617
Statistične razlike,2005,"Geoterm., sončna itd.",0
Statistične razlike,2005,Hidro energija,0
Statistične razlike,2005,Naftni proizvodi,-3
Statistične razlike,2005,Nuklearna energija,0
Statistične razlike,2005,Obnovljivi viri in odpadki,0
Statistične razlike,2005,Surova nafta,0
Statistične razlike,2005,Toplota,0
Statistične razlike,2005,Trdna goriva,622
Statistične razlike,2005,Zemeljski plin,0
Transformacija-elektrarne-male HE,2005,Električna energija,562
Transformacija-elektrarne-male HE,2005,Energetski viri-SKUPAJ,0
Transformacija-elektrarne-male HE,2005,"Geoterm., sončna itd.",
Transformacija-elektrarne-male HE,2005,Hidro energija,-562
Transformacija-elektrarne-male HE,2005,Naftni proizvodi,
Transformacija-elektrarne-male HE,2005,Nuklearna energija,
Transformacija-elektrarne-male HE,2005,Obnovljivi viri in odpadki,
Transformacija-elektrarne-male HE,2005,Surova nafta,
Transformacija-elektrarne-male HE,2005,Toplota,
Transformacija-elektrarne-male HE,2005,Trdna goriva,
Transformacija-elektrarne-male HE,2005,Zemeljski plin,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Električna energija,35233
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Energetski viri-SKUPAJ,-47905
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,"Geoterm., sončna itd.",0
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Hidro energija,-11653
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Naftni proizvodi,-137
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Nuklearna energija,-64189
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Obnovljivi viri in odpadki,0
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Surova nafta,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Toplota,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Trdna goriva,-6791
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2005,Zemeljski plin,-368
Transformacija-elektrarne-samoproizvajalci,2005,Električna energija,277
Transformacija-elektrarne-samoproizvajalci,2005,Energetski viri-SKUPAJ,-70
Transformacija-elektrarne-samoproizvajalci,2005,"Geoterm., sončna itd.",0
Transformacija-elektrarne-samoproizvajalci,2005,Hidro energija,-245
Transformacija-elektrarne-samoproizvajalci,2005,Naftni proizvodi,0
Transformacija-elektrarne-samoproizvajalci,2005,Nuklearna energija,
Transformacija-elektrarne-samoproizvajalci,2005,Obnovljivi viri in odpadki,-102
Transformacija-elektrarne-samoproizvajalci,2005,Surova nafta,
Transformacija-elektrarne-samoproizvajalci,2005,Toplota,
Transformacija-elektrarne-samoproizvajalci,2005,Trdna goriva,0
Transformacija-elektrarne-samoproizvajalci,2005,Zemeljski plin,0
Transformacija-elektrarne-skupaj,2005,Električna energija,36072
Transformacija-elektrarne-skupaj,2005,Energetski viri-SKUPAJ,-47974
Transformacija-elektrarne-skupaj,2005,"Geoterm., sončna itd.",0
Transformacija-elektrarne-skupaj,2005,Hidro energija,-12460
Transformacija-elektrarne-skupaj,2005,Naftni proizvodi,-137
Transformacija-elektrarne-skupaj,2005,Nuklearna energija,-64189
Transformacija-elektrarne-skupaj,2005,Obnovljivi viri in odpadki,-102
Transformacija-elektrarne-skupaj,2005,Surova nafta,0
Transformacija-elektrarne-skupaj,2005,Toplota,0
Transformacija-elektrarne-skupaj,2005,Trdna goriva,-6791
Transformacija-elektrarne-skupaj,2005,Zemeljski plin,-368
Transformacija-plinarne,2005,Električna energija,
Transformacija-plinarne,2005,Energetski viri-SKUPAJ,0
Transformacija-plinarne,2005,"Geoterm., sončna itd.",
Transformacija-plinarne,2005,Hidro energija,
Transformacija-plinarne,2005,Naftni proizvodi,
Transformacija-plinarne,2005,Nuklearna energija,
Transformacija-plinarne,2005,Obnovljivi viri in odpadki,
Transformacija-plinarne,2005,Surova nafta,
Transformacija-plinarne,2005,Toplota,
Transformacija-plinarne,2005,Trdna goriva,
Transformacija-plinarne,2005,Zemeljski plin,
Transformacija-predelava premoga,2005,Električna energija,
Transformacija-predelava premoga,2005,Energetski viri-SKUPAJ,0
Transformacija-predelava premoga,2005,"Geoterm., sončna itd.",
Transformacija-predelava premoga,2005,Hidro energija,
Transformacija-predelava premoga,2005,Naftni proizvodi,
Transformacija-predelava premoga,2005,Nuklearna energija,
Transformacija-predelava premoga,2005,Obnovljivi viri in odpadki,
Transformacija-predelava premoga,2005,Surova nafta,
Transformacija-predelava premoga,2005,Toplota,
Transformacija-predelava premoga,2005,Trdna goriva,
Transformacija-predelava premoga,2005,Zemeljski plin,
Transformacija-rafinerije,2005,Električna energija,
Transformacija-rafinerije,2005,Energetski viri-SKUPAJ,0
Transformacija-rafinerije,2005,"Geoterm., sončna itd.",
Transformacija-rafinerije,2005,Hidro energija,
Transformacija-rafinerije,2005,Naftni proizvodi,0
Transformacija-rafinerije,2005,Nuklearna energija,
Transformacija-rafinerije,2005,Obnovljivi viri in odpadki,
Transformacija-rafinerije,2005,Surova nafta,0
Transformacija-rafinerije,2005,Toplota,
Transformacija-rafinerije,2005,Trdna goriva,
Transformacija-rafinerije,2005,Zemeljski plin,0
Transformacija-skupaj,2005,Električna energija,54425
Transformacija-skupaj,2005,Energetski viri-SKUPAJ,-78992
Transformacija-skupaj,2005,"Geoterm., sončna itd.",0
Transformacija-skupaj,2005,Hidro energija,-12460
Transformacija-skupaj,2005,Naftni proizvodi,-587
Transformacija-skupaj,2005,Nuklearna energija,-64189
Transformacija-skupaj,2005,Obnovljivi viri in odpadki,-1557
Transformacija-skupaj,2005,Surova nafta,0
Transformacija-skupaj,2005,Toplota,10104
Transformacija-skupaj,2005,Trdna goriva,-59098
Transformacija-skupaj,2005,Zemeljski plin,-5630
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Električna energija,17075
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Energetski viri-SKUPAJ,-29381
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,"Geoterm., sončna itd.",
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Hidro energija,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Naftni proizvodi,-69
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Nuklearna energija,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Obnovljivi viri in odpadki,-156
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Surova nafta,
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Toplota,6947
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Trdna goriva,-51963
Transformacija-termoelektrarne toplarne-proizvajalci po glavni dejavnosti,2005,Zemeljski plin,-1215
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Električna energija,1278
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Energetski viri-SKUPAJ,-894
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,"Geoterm., sončna itd.",
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Hidro energija,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Naftni proizvodi,-169
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Nuklearna energija,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Obnovljivi viri in odpadki,-982
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Surova nafta,
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Toplota,157
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Trdna goriva,-326
Transformacija-termoelektrarne toplarne-samoproizvajalci,2005,Zemeljski plin,-852
Transformacija-termoelektrarne toplarne-skupaj,2005,Električna energija,18353
Transformacija-termoelektrarne toplarne-skupaj,2005,Energetski viri-SKUPAJ,-30276
Transformacija-termoelektrarne toplarne-skupaj,2005,"Geoterm., sončna itd.",0
Transformacija-termoelektrarne toplarne-skupaj,2005,Hidro energija,0
Transformacija-termoelektrarne toplarne-skupaj,2005,Naftni proizvodi,-239
Transformacija-termoelektrarne toplarne-skupaj,2005,Nuklearna energija,0
Transformacija-termoelektrarne toplarne-skupaj,2005,Obnovljivi viri in odpadki,-1138
Transformacija-termoelektrarne toplarne-skupaj,2005,Surova nafta,0
Transformacija-termoelektrarne toplarne-skupaj,2005,Toplota,7104
Transformacija-termoelektrarne toplarne-skupaj,2005,Trdna goriva,-52289
Transformacija-termoelektrarne toplarne-skupaj,2005,Zemeljski plin,-2067
Transformacija-toplarne,2005,Električna energija,
Transformacija-toplarne,2005,Energetski viri-SKUPAJ,-742
Transformacija-toplarne,2005,"Geoterm., sončna itd.",0
Transformacija-toplarne,2005,Hidro energija,
Transformacija-toplarne,2005,Naftni proizvodi,-212
Transformacija-toplarne,2005,Nuklearna energija,
Transformacija-toplarne,2005,Obnovljivi viri in odpadki,-317
Transformacija-toplarne,2005,Surova nafta,
Transformacija-toplarne,2005,Toplota,3000
Transformacija-toplarne,2005,Trdna goriva,-18
Transformacija-toplarne,2005,Zemeljski plin,-3195
Transformacija-utekočinjanje,2005,Električna energija,
Transformacija-utekočinjanje,2005,Energetski viri-SKUPAJ,0
Transformacija-utekočinjanje,2005,"Geoterm., sončna itd.",
Transformacija-utekočinjanje,2005,Hidro energija,
Transformacija-utekočinjanje,2005,Naftni proizvodi,
Transformacija-utekočinjanje,2005,Nuklearna energija,
Transformacija-utekočinjanje,2005,Obnovljivi viri in odpadki,
Transformacija-utekočinjanje,2005,Surova nafta,
Transformacija-utekočinjanje,2005,Toplota,
Transformacija-utekočinjanje,2005,Trdna goriva,
Transformacija-utekočinjanje,2005,Zemeljski plin,
Uvoz,2005,Električna energija,33632
Uvoz,2005,Energetski viri-SKUPAJ,200379
Uvoz,2005,"Geoterm., sončna itd.",
Uvoz,2005,Hidro energija,
Uvoz,2005,Naftni proizvodi,113820
Uvoz,2005,Nuklearna energija,
Uvoz,2005,Obnovljivi viri in odpadki,0
Uvoz,2005,Surova nafta,0
Uvoz,2005,Toplota,
Uvoz,2005,Trdna goriva,14175
Uvoz,2005,Zemeljski plin,38752
Domača proizvodnja,2006,Električna energija,
Domača proizvodnja,2006,Energetski viri-SKUPAJ,151582
Domača proizvodnja,2006,"Geoterm., sončna itd.",350
Domača proizvodnja,2006,Hidro energija,12928
Domača proizvodnja,2006,Naftni proizvodi,0
Domača proizvodnja,2006,Nuklearna energija,60524
Domača proizvodnja,2006,Obnovljivi viri in odpadki,26984
Domača proizvodnja,2006,Surova nafta,18
Domača proizvodnja,2006,Toplota,
Domača proizvodnja,2006,Trdna goriva,50636
Domača proizvodnja,2006,Zemeljski plin,142
Izvoz,2006,Električna energija,-27584
Izvoz,2006,Energetski viri-SKUPAJ,-45576
Izvoz,2006,"Geoterm., sončna itd.",
Izvoz,2006,Hidro energija,
Izvoz,2006,Naftni proizvodi,-17051
Izvoz,2006,Nuklearna energija,
Izvoz,2006,Obnovljivi viri in odpadki,-222
Izvoz,2006,Surova nafta,-19
Izvoz,2006,Toplota,
Izvoz,2006,Trdna goriva,-701
Izvoz,2006,Zemeljski plin,0
Končna poraba,2006,Električna energija,47873
Končna poraba,2006,Energetski viri-SKUPAJ,222749
Končna poraba,2006,"Geoterm., sončna itd.",350
Končna poraba,2006,Hidro energija,0
Končna poraba,2006,Naftni proizvodi,104591
Končna poraba,2006,Nuklearna energija,0
Končna poraba,2006,Obnovljivi viri in odpadki,25308
Končna poraba,2006,Surova nafta,0
Končna poraba,2006,Toplota,8017
Končna poraba,2006,Trdna goriva,4212
Končna poraba,2006,Zemeljski plin,32397
Končna poraba-Drugi porabniki,2006,Električna energija,8899
Končna poraba-Drugi porabniki,2006,Energetski viri-SKUPAJ,19132
Končna poraba-Drugi porabniki,2006,"Geoterm., sončna itd.",0
Končna poraba-Drugi porabniki,2006,Hidro energija,
Končna poraba-Drugi porabniki,2006,Naftni proizvodi,8328
Končna poraba-Drugi porabniki,2006,Nuklearna energija,
Končna poraba-Drugi porabniki,2006,Obnovljivi viri in odpadki,58
Končna poraba-Drugi porabniki,2006,Surova nafta,
Končna poraba-Drugi porabniki,2006,Toplota,1265
Končna poraba-Drugi porabniki,2006,Trdna goriva,0
Končna poraba-Drugi porabniki,2006,Zemeljski plin,581
Končna poraba-Energetski sektor,2006,Električna energija,479
Končna poraba-Energetski sektor,2006,Energetski viri-SKUPAJ,713
Končna poraba-Energetski sektor,2006,"Geoterm., sončna itd.",0
Končna poraba-Energetski sektor,2006,Hidro energija,
Končna poraba-Energetski sektor,2006,Naftni proizvodi,0
Končna poraba-Energetski sektor,2006,Nuklearna energija,
Končna poraba-Energetski sektor,2006,Obnovljivi viri in odpadki,0
Končna poraba-Energetski sektor,2006,Surova nafta,
Končna poraba-Energetski sektor,2006,Toplota,92
Končna poraba-Energetski sektor,2006,Trdna goriva,0
Končna poraba-Energetski sektor,2006,Zemeljski plin,142
Končna poraba-Gospodinjstva,2006,Električna energija,10998
Končna poraba-Gospodinjstva,2006,Energetski viri-SKUPAJ,55811
Končna poraba-Gospodinjstva,2006,"Geoterm., sončna itd.",350
Končna poraba-Gospodinjstva,2006,Hidro energija,
Končna poraba-Gospodinjstva,2006,Naftni proizvodi,15790
Končna poraba-Gospodinjstva,2006,Nuklearna energija,
Končna poraba-Gospodinjstva,2006,Obnovljivi viri in odpadki,20545
Končna poraba-Gospodinjstva,2006,Surova nafta,
Končna poraba-Gospodinjstva,2006,Toplota,4216
Končna poraba-Gospodinjstva,2006,Trdna goriva,0
Končna poraba-Gospodinjstva,2006,Zemeljski plin,3912
Končna poraba-Kmetijstvo in gozdarstvo,2006,Električna energija,0
Končna poraba-Kmetijstvo in gozdarstvo,2006,Energetski viri-SKUPAJ,3157
Končna poraba-Kmetijstvo in gozdarstvo,2006,"Geoterm., sončna itd.",0
Končna poraba-Kmetijstvo in gozdarstvo,2006,Hidro energija,
Končna poraba-Kmetijstvo in gozdarstvo,2006,Naftni proizvodi,3157
Končna poraba-Kmetijstvo in gozdarstvo,2006,Nuklearna energija,
Končna poraba-Kmetijstvo in gozdarstvo,2006,Obnovljivi viri in odpadki,0
Končna poraba-Kmetijstvo in gozdarstvo,2006,Surova nafta,
Končna poraba-Kmetijstvo in gozdarstvo,2006,Toplota,0
Končna poraba-Kmetijstvo in gozdarstvo,2006,Trdna goriva,0
Končna poraba-Kmetijstvo in gozdarstvo,2006,Zemeljski plin,0
Končna poraba-Neenergetska raba,2006,Električna energija,
Končna poraba-Neenergetska raba,2006,Energetski viri-SKUPAJ,7888
Končna poraba-Neenergetska raba,2006,"Geoterm., sončna itd.",
Končna poraba-Neenergetska raba,2006,Hidro energija,
Končna poraba-Neenergetska raba,2006,Naftni proizvodi,2255
Končna poraba-Neenergetska raba,2006,Nuklearna energija,
Končna poraba-Neenergetska raba,2006,Obnovljivi viri in odpadki,
Končna poraba-Neenergetska raba,2006,Surova nafta,
Končna poraba-Neenergetska raba,2006,Toplota,
Končna poraba-Neenergetska raba,2006,Trdna goriva,899
Končna poraba-Neenergetska raba,2006,Zemeljski plin,4734
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Električna energija,26784
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Energetski viri-SKUPAJ,71099
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,"Geoterm., sončna itd.",0
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Hidro energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Naftni proizvodi,10912
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Nuklearna energija,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Obnovljivi viri in odpadki,4621
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Surova nafta,
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Toplota,2444
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Trdna goriva,3309
Končna poraba-Predelovalne dejavnosti in gradbenitvo,2006,Zemeljski plin,23028
Končna poraba-Promet,2006,Električna energija,713
Končna poraba-Promet,2006,Energetski viri-SKUPAJ,64949
Končna poraba-Promet,2006,"Geoterm., sončna itd.",
Končna poraba-Promet,2006,Hidro energija,
Končna poraba-Promet,2006,Naftni proizvodi,64148
Končna poraba-Promet,2006,Nuklearna energija,
Končna poraba-Promet,2006,Obnovljivi viri in odpadki,83
Končna poraba-Promet,2006,Surova nafta,
Končna poraba-Promet,2006,Toplota,
Končna poraba-Promet,2006,Trdna goriva,5
Končna poraba-Promet,2006,Zemeljski plin,0
Lastna raba in izgube,2006,Električna energija,-6700
Lastna raba in izgube,2006,Energetski viri-SKUPAJ,-8297
Lastna raba in izgube,2006,"Geoterm., sončna itd.",
Lastna raba in izgube,2006,Hidro energija,
Lastna raba in izgube,2006,Naftni proizvodi,
Lastna raba in izgube,2006,Nuklearna energija,
Lastna raba in izgube,2006,Obnovljivi viri in odpadki,
Lastna raba in izgube,2006,Surova nafta,
Lastna raba in izgube,2006,Toplota,-1598
Lastna raba in izgube,2006,Trdna goriva,
Lastna raba in izgube,2006,Zemeljski plin,
Medn. pomorska skladiča,2006,Električna energija,
Medn. pomorska skladiča,2006,Energetski viri-SKUPAJ,-1216
Medn. pomorska skladiča,2006,"Geoterm., sončna itd.",
Medn. pomorska skladiča,2006,Hidro energija,
Medn. pomorska skladiča,2006,Naftni proizvodi,-1216
Medn. pomorska skladiča,2006,Nuklearna energija,
Medn. pomorska skladiča,2006,Obnovljivi viri in odpadki,0
Medn. pomorska skladiča,2006,Surova nafta,
Medn. pomorska skladiča,2006,Toplota,
Medn. pomorska skladiča,2006,Trdna goriva,
Medn. pomorska skladiča,2006,Zemeljski plin,
Oskrba z energijo,2006,Električna energija,159
Oskrba z energijo,2006,Energetski viri-SKUPAJ,309440
Oskrba z energijo,2006,"Geoterm., sončna itd.",350
Oskrba z energijo,2006,Hidro energija,12928
Oskrba z energijo,2006,Naftni proizvodi,105364
Oskrba z energijo,2006,Nuklearna energija,60524
Oskrba z energijo,2006,Obnovljivi viri in odpadki,26845
Oskrba z energijo,2006,Surova nafta,0
Oskrba z energijo,2006,Toplota,0
Oskrba z energijo,2006,Trdna goriva,65618
Oskrba z energijo,2006,Zemeljski plin,37653
Reklasifikacije,2006,Električna energija,
Reklasifikacije,2006,Energetski viri-SKUPAJ,
Reklasifikacije,2006,"Geoterm., sončna itd.",
Reklasifikacije,2006,Hidro energija,
Reklasifikacije,2006,Naftni proizvodi,
Reklasifikacije,2006,Nuklearna energija,
Reklasifikacije,2006,Obnovljivi viri in odpadki,
Reklasifikacije,2006,Surova nafta,
Reklasifikacije,2006,Toplota,
Reklasifikacije,2006,Trdna goriva,
Reklasifikacije,2006,Zemeljski plin,
Spremembe zalog,2006,Električna energija,
Spremembe zalog,2006,Energetski viri-SKUPAJ,3854
Spremembe zalog,2006,"Geoterm., sončna itd.",
Spremembe zalog,2006,Hidro energija,
Spremembe zalog,2006,Naftni proizvodi,2504
Spremembe zalog,2006,Nuklearna energija,
Spremembe zalog,2006,Obnovljivi viri in odpadki,0
Spremembe zalog,2006,Surova nafta,1
Spremembe zalog,2006,Toplota,
Spremembe zalog,2006,Trdna goriva,1350
Spremembe zalog,2006,Zemeljski plin,
Statistične razlike,2006,Električna energija,1
Statistične razlike,2006,Energetski viri-SKUPAJ,824
Statistične razlike,2006,"Geoterm., sončna itd.",0
Statistične razlike,2006,Hidro energija,0
Statistične razlike,2006,Naftni proizvodi,0
Statistične razlike,2006,Nuklearna energija,0
Statistične razlike,2006,Obnovljivi viri in odpadki,0
Statistične razlike,2006,Surova nafta,0
Statistične razlike,2006,Toplota,0
Statistične razlike,2006,Trdna goriva,823
Statistične razlike,2006,Zemeljski plin,0
Transformacija-elektrarne-male HE,2006,Električna energija,662
Transformacija-elektrarne-male HE,2006,Energetski viri-SKUPAJ,0
Transformacija-elektrarne-male HE,2006,"Geoterm., sončna itd.",
Transformacija-elektrarne-male HE,2006,Hidro energija,-662
Transformacija-elektrarne-male HE,2006,Naftni proizvodi,
Transformacija-elektrarne-male HE,2006,Nuklearna energija,
Transformacija-elektrarne-male HE,2006,Obnovljivi viri in odpadki,
Transformacija-elektrarne-male HE,2006,Surova nafta,
Transformacija-elektrarne-male HE,2006,Toplota,
Transformacija-elektrarne-male HE,2006,Trdna goriva,
Transformacija-elektrarne-male HE,2006,Zemeljski plin,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2006,Električna energija,34592
