Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,267.168235987262,267.28099312126864,272.3056646397556,274.07788515672206,268.5802777528062,270.78414870811747,266.5239520976903,273.376143453501,272.8357098304008,272.3336935023292,273.98168293655095,272.9023371051469,271.18475921618034,270.89368666095265,274.43511825632083,275.158243443095,271.2250192008032,272.75380210026617,274.1299240670318,274.1760088554597,273.3138636059499,271.85673938573234,267.8206315619849,267.6807177600965,272.95957847361103,271.51926224890155,272.15146610344993,270.3235907408308,270.5004481299177,271.05198807333534,272.64222570405684,272.0098502634954,272.4265405463291,273.6650354322038,276.03888848951357,273.78129094666224,273.2041172766796,272.4635669761167,271.42811985985986,273.04908885210193,270.13207344609987,271.87047109647983,275.13990966489007,272.72159862798924,270.62223570263654,274.3025908949196,270.30606563996247,275.1946512601515,273.27756119576156,274.2129941718225,273.0106474662739,272.2801327282464,273.41402029620343,275.5361479622519,274.1851762769202,272.6431896567295,272.0643142373084,275.21042216470534,271.674165306396,271.44164794049584,276.00005725092524,271.23203631958677,272.97343128616444,273.04878154688896,273.2523368716791,271.4243102103735,276.6213535278372,274.17247859125837,273.21371935876095,272.4572259711337,273.13912826608646,274.64443373229136,273.4944030069012,276.4207586518553,275.47454576143554,274.5424178814177,271.0934252616687,275.74954820130245,273.87932088626644,275.3657408718704,274.6158792721018,274.01146843915427,275.99441778464393
2,267.2164586224743,267.24223470667823,272.37642688598896,274.1536245005328,268.57147328399617,270.7056645525259,266.3166068719685,273.33573263841004,272.77525123702026,272.19522230702324,273.9378592966985,272.84239574559047,271.14496148499484,270.6148433805564,274.4196375830427,274.8833594945561,271.2463697936165,272.72206667963826,274.1334534974196,273.99036387266756,273.3323685340192,271.6271261413241,267.72421339691664,267.60895584831223,272.98200930402584,271.5971151434508,272.056434583243,270.34194701917534,270.5310266918874,271.1124638561042,272.639294554176,271.97621015602425,272.35523358890623,273.92534652523955,275.9973407374956,273.6290512950844,273.09571260481937,272.4705885076984,271.4636672325824,273.05613506456643,270.2579337621547,271.8704841039721,275.1317462832951,272.7860328190063,270.5988282327544,274.2990365399188,270.1313625879275,275.2091661848507,273.29197757651997,274.3481139751882,272.9003551173681,272.2788929885153,273.26182998073557,275.6383389652953,274.2414354257796,272.46669879286367,272.0880025484423,275.05077731183417,271.62634287606073,271.4800879409104,275.8920526043514,271.3225267497669,272.8722027734129,272.9941215242544,273.14579420823316,271.41361780796,276.61770703001855,274.151411161547,273.11472204143433,272.28372725382127,273.0946564323615,274.50552392537077,273.5285908401188,276.40124230787706,275.4277484856919,274.564851367208,271.08663667195384,275.86429891309706,273.88344884089133,275.43679449106276,274.64283839029747,273.9622916004747,275.97673840901587
3,267.267436152198,267.2376341464992,272.452309068485,274.20851393736126,268.58910619696434,270.624869771142,266.0850075605087,273.26899994396774,272.67351666354693,272.08992986370407,273.8538641077774,272.77081550255,271.11700073857924,270.381806972098,274.43681814571346,274.56406775559134,271.3299242414913,272.6517444560888,274.17589986960695,273.7831162416219,273.3253020278142,271.4059514754858,267.6175330002902,267.6028795278388,272.96675133594897,271.6395484183505,272.0242943396935,270.368163940635,270.5790926342804,271.12333008941357,272.58516832618665,271.9314733876456,272.25173271599317,274.2118584278904,275.9788075752146,273.47294608361085,273.0067355335135,272.50756526785074,271.6204708848194,273.05396498126515,270.3528747558594,271.83576180905845,275.09828556120124,272.87253747902383,270.60684822406427,274.2624067103677,269.988098567852,275.23904610081047,273.30133727539885,274.48786602365016,272.79051028264075,272.2678026774191,273.07317670106187,275.7295353662171,274.30815370166033,272.40419783077107,272.05746579260426,274.9236804501958,271.62191653161454,271.5085131856462,275.7172212861275,271.40120740315655,272.7445809812093,272.94951815322554,273.03705579285463,271.30293068037963,276.570598921389,274.13718240167873,273.05116634360877,272.15375088743417,273.054242410295,274.2653529971725,273.59975348364765,276.40263558476346,275.3650858535542,274.6385982556722,271.1456471876519,275.93059304723624,273.910294303878,275.56726615556204,274.70496076252743,273.9878386745637,275.96673167077574
4,267.34278289807753,267.1991090457847,272.4865002241291,274.2401565737763,268.60145849137314,270.61933913677876,265.9493893290228,273.2295365463841,272.55798443749757,271.96273466337124,273.7721234738902,272.6917175318624,271.0794451450189,270.1257637091272,274.4715415694825,274.2990176059359,271.3665432186375,272.59874809685255,274.2182453246917,273.61202501358736,273.2807240432028,271.197516686278,267.5122290759991,267.5615551224172,272.9268921078028,271.6807152329999,272.03890930919806,270.3462266124262,270.60452265376654,271.1348316758658,272.4767522759776,271.86556128124676,272.1348486343519,274.4665601617301,275.9590432807246,273.37794682557666,272.9045606166588,272.54583184786236,271.79508996540983,273.0408176904769,270.4735585902608,271.7943922750787,275.05604592347754,272.9221337387772,270.62538064232695,274.17823728005794,269.8626566466387,275.27606120356097,273.27894580098655,274.6388255019507,272.6957931229927,272.3057190557146,272.9487047872908,275.8385708886267,274.32450841684806,272.42741230487223,272.0142406256773,274.87190130489523,271.68617312033274,271.4967342727873,275.59164386378865,271.4543125045154,272.61275483139826,272.9405907289779,272.96868909312275,271.1870658909789,276.4905223998767,274.13967438834516,273.0620603236695,272.0953008099332,273.05470240602176,273.96553124856325,273.6305967365407,276.4007496394846,275.2741089252024,274.6680903456801,271.2645749336233,275.9993010589484,273.8883887632097,275.7293667049656,274.81248350331845,274.0300496034434,275.9661140201371
5,267.4146911120806,267.1528509395771,272.4920015082534,274.23814002763027,268.6031598174908,270.66547762280305,265.94755516998305,273.26361239201987,272.45463694780506,271.86486010814025,273.768548427484,272.5530368056103,271.07669824229015,269.8938456243104,274.50950651421374,274.1029049912237,271.3694089847034,272.5386150371332,274.24087651410287,273.4473859635458,273.1402211776547,271.0201594259319,267.4364878464868,267.54862876657984,272.93145075922706,271.7208396010461,272.096249208775,270.32633761790385,270.5849723799883,271.1970188418273,272.4347212455913,271.79785007446344,272.0331394216402,274.6042191071288,275.9348309113229,273.3121933233542,272.8498921147812,272.6580765007824,271.91101300631215,273.0369375452569,270.660118279411,271.7242421378304,275.0242982137198,272.9703892647293,270.6031074924798,274.0241762460305,269.7772763393766,275.3093070583015,273.1978171478053,274.79285029715584,272.61298596453094,272.33017189696136,272.81937680719477,275.9527435495153,274.26718421862273,272.4491381907774,272.0037793050849,274.8652146328593,271.7635739852822,271.49161774874636,275.580640128201,271.4779006810487,272.52569913603566,272.92397921202615,272.86335512588585,271.03145726040765,276.4060613528777,274.17503996404497,273.01767373135135,272.06549260194384,273.129664763827,273.6692986955358,273.6542443319147,276.38616927965893,275.2081253545632,274.64600326454706,271.3475677503062,276.00311041980694,273.85931293861165,275.84469324843934,274.9016590479193,274.08213991515527,275.94877532792225
6,267.39044895629115,267.09289115915385,272.42625066140664,274.1925675727681,268.6088008872598,270.7503667881931,265.95316449069537,273.25952592282897,272.43153097209637,271.8168148699805,273.87193653031323,272.434316127628,271.0828845620206,269.6692605197004,274.56029417816455,273.9000036328618,271.3869880974519,272.5799887786647,274.20566772101756,273.29748610840875,272.9709376446987,270.9033242570798,267.38242337201615,267.56269753685814,272.91898191050353,271.6549037630291,272.13939548410656,270.28723169545657,270.56755121719345,271.3332382400981,272.40347944262044,271.71098387286463,271.9695887395243,274.6668571096952,275.9090421210823,273.2464954942252,272.8571322209798,272.68871697020563,272.1250415944712,273.0246453880512,270.69036679229805,271.6650955309233,274.98400882754623,272.995503563899,270.61020301539844,273.7922773902383,269.709592712582,275.320521017542,273.1696723723121,274.9034640106547,272.47266916769706,272.3742878975213,272.8039081151769,276.01741007948783,274.2149497726075,272.4112331780028,272.06533754468217,274.8762494376248,271.9171069459086,271.58137394831726,275.6266105045737,271.48615661595437,272.4352438671341,272.9100863764195,272.7038144484044,270.8894679489232,276.2689440399722,274.225377945902,273.0309438108145,272.08241252730807,273.1314637487603,273.4683009464734,273.72761156580043,276.3811081080138,275.1207221898275,274.62319277955385,271.42030473655393,275.9885362815135,273.8332860368598,275.87320751881293,274.9615757907324,274.13117116997853,275.85964899115226
7,267.30425996527845,266.9848779435416,272.35929654455333,274.08727040878114,268.60867165897815,270.8237772007959,265.9385624645437,273.2786137892349,272.43718429251146,271.7912364573276,273.9703909067007,272.26029631529303,271.05851968169566,269.4505431153986,274.61063608535954,273.6948336600857,271.43496847774065,272.6670036428162,274.1757953478639,273.12779564875524,272.8092479473305,270.949388777423,267.3737623576309,267.5405255350159,272.84463753686225,271.64078752951445,272.14860491694503,270.2775773396759,270.5180662010036,271.49841835820513,272.38689486426233,271.65493330568665,271.9361297491971,274.7364185103953,275.8603203393873,273.22523668504857,272.81529369891416,272.66053627658766,272.32095451723785,273.01704997463156,270.7361139246976,271.5908778712949,274.91205315030686,272.9873006338831,270.64709243036816,273.5725454400196,269.66971476852723,275.3369583957283,273.20852732969064,274.9635078908015,272.31385190048957,272.4628191607597,272.8196766850526,276.1252483738325,274.1955363468845,272.31163387290565,272.1200047509417,274.9048668956396,272.0427109604876,271.69400411816696,275.6514360220205,271.5473583425079,272.3259760442528,272.97653084073863,272.5497947330483,270.7337447651899,276.17750900159524,274.22623682523187,273.10543166453624,272.03672413387034,273.0913137377386,273.2703809958639,273.79374825027423,276.4051534196518,275.0287640809312,274.63531029770587,271.5058741912265,275.9486653671489,273.77199023047535,275.8783873357208,275.03084479224134,274.2293100697797,275.74990025023646
8,267.190735677853,266.85599973533476,272.3258288697367,273.95890729213875,268.50214233655,270.94332313617775,265.83885876598254,273.3173031384026,272.4628646228433,271.7115572928982,274.0092778953498,272.09022763778603,271.02499829645467,269.21786171911947,274.6452704834908,273.509629264405,271.49019140152933,272.6780051848326,274.1486451709005,272.9428440910169,272.68017980921115,271.0618687325438,267.36184717397225,267.49645553531144,272.7596652210135,271.68690719700703,272.13029750007803,270.35305222346534,270.47194676441325,271.6362589466918,272.36341052959324,271.70307135371513,271.9087216672701,274.71484672607323,275.7850125775011,273.1588285621749,272.8044279787209,272.63577977325195,272.44350039853725,272.98333649156274,270.86237551034526,271.5115942423862,274.7729813269879,273.0459627309433,270.67351502157555,273.35366474935716,269.6949974595624,275.5226777290386,273.2633769487122,275.03063174645007,272.19436298513074,272.5655343118662,272.8483284705324,276.17065413011227,274.2086907315024,272.1912527256726,272.1375714462813,274.91898031984374,272.20514802423634,271.73114594775825,275.63955887309044,271.6647448545747,272.2570857352296,273.1075006511443,272.38445072566924,270.612729291046,276.07498954012897,274.2256461260148,273.1985439125757,271.91873247836907,273.0227537856677,273.08578887593103,273.83218048980825,276.46648423337996,274.90593925690945,274.7242210102763,271.5737477992452,275.85470853006206,273.6901935258299,275.8456879367644,275.13804312822646,274.3364280389607,275.63327911492405
9,267.1522942150577,266.81639685997595,272.2854891468769,273.8501526879483,268.47037470506086,271.07190317263775,265.77532645342177,273.38105211422294,272.4952248135952,271.572407604216,274.0305263780656,271.9643147914738,270.97016963822443,268.98563600839213,274.57675129849156,273.31634145626856,271.57633351938927,272.63081369484206,274.07890943901634,272.74854194220995,272.57352901938185,271.22419241046947,267.36129095615485,267.47349035865176,272.7085274323138,271.7691309938115,272.1100980831626,270.4598027502303,270.45524546497757,271.7317435483865,272.38737274208404,271.8559535933723,271.8467609266014,274.71017241828736,275.68050679242526,273.0490628371173,272.8376476901978,272.56744455319085,272.5012094594692,272.9429755128698,271.09061006319126,271.43917461842636,274.58417040523034,273.09348873412625,270.65216183752614,273.0684978393709,269.71959556396797,275.69179693657395,273.3174767897078,275.13680617215005,272.0847640741067,272.7315850981447,272.86346178988845,276.17466735198445,274.2067425965562,272.08530918937515,272.1858416601809,274.9133839040005,272.3459135025878,271.7368582252095,275.62320568442294,271.81292496272727,272.26640596265497,273.2101088816902,272.23440881434885,270.5781680760939,276.023645760984,274.2185139024694,273.2674422005537,271.7532978162088,273.0251653542184,272.8698991773108,273.89866324541396,276.5067254636107,274.7844077675921,274.82477422379907,271.57442822963463,275.9041544339796,273.6635807738078,275.78079777798166,275.1949389001911,274.3878088779137,275.5022129541488
10,267.2176507706901,266.74746016526035,272.18599642881486,273.7594759709798,268.4819414572537,271.21754511367783,265.80741802791226,273.4472649579492,272.51421840775157,271.50316717044404,274.0335216802827,271.8322280171841,270.88832911346674,268.7368673458476,274.5024723984605,273.03910283092296,271.6661148359917,272.67198523015924,273.996411227739,272.5982113004783,272.4844552898367,271.3384884116328,267.3133451855448,267.51172996158607,272.6389134372168,271.8494916148625,272.0502036480705,270.6443066013717,270.46690361597,271.82747018693027,272.4306390480917,272.0047858848748,271.8737580666977,274.8328292224527,275.57999517978766,272.9165869669135,272.88889407991314,272.462780754022,272.53317319109146,272.88585631734134,271.22988364374805,271.4421166335399,274.4109078111043,273.13521430651747,270.64800950988797,272.81919992325834,269.785739137025,275.8221058021728,273.35082343327196,275.26150634560383,272.01383078063225,272.9089827407253,272.85321681185803,276.1805513565557,274.2122517826678,271.9825847765236,272.21737309151615,274.89204549769386,272.42257290199154,271.7213884299921,275.60899853956903,271.9564368435193,272.3158334457057,273.26631188282397,272.115190400953,270.5940167562157,276.0424446147648,274.20189234127065,273.2556939592077,271.6206157118295,273.11287991626773,272.6001972520787,273.9568427055009,276.5070685201856,274.7112919349238,274.93532001355857,271.5537314493148,275.9814861693669,273.6508586125096,275.7943799987767,275.22765210196974,274.4649672826933,275.3882735686525
