Day_of_year,t2m
1,272.37745100494124
2,272.2870185265174
3,272.1878492828108
4,271.5880824814495
5,270.9888506767077
6,271.2151635585687
7,271.4803031464928
8,271.25726307926027
9,270.8776618109809
10,270.5650630853115
11,271.060445436657
12,271.462415515867
13,271.1247249375041
14,270.87280792497165
15,271.513525260208
16,271.28303566957135
17,270.971519378923
18,270.34560361682856
19,270.02362274430754
20,270.991752220219
21,270.98315445337545
22,271.4783127352722
23,272.0605209741837
24,272.14420664208563
25,271.97817095895095
26,271.84176450550046
27,272.06292502900476
28,272.3583706586789
29,272.0651668972439
30,272.00882750943174
31,272.54393172304856
32,272.13448251577523
33,272.0322552933652
34,271.9548801389516
35,272.1283906855135
36,272.47457285823987
37,272.67290722447586
38,272.214836837899
39,272.4443602733123
40,272.8150852301182
41,273.0920148670164
42,273.59741231804225
43,274.05234007224055
44,274.4189493815104
45,273.99325097238926
46,273.46490392440404
47,273.15262125129374
48,273.3332520313752
49,273.28311219826725
50,273.7359621227297
51,273.98526342669106
52,273.9511675451556
53,273.87022775503306
54,273.9270642402845
55,274.61928564870453
56,275.06582250350556
57,275.07255238590074
58,274.5305154392862
59,274.2760663154797
60,274.7244307558761
61,274.8095616006443
62,275.39338162414026
63,275.63057657877613
64,275.93468017578124
65,275.58716879298544
66,275.61731476090915
67,275.13603891225955
68,275.4378883557442
69,275.78929151225293
70,275.5910636967064
71,275.45446659968457
72,275.9790447267712
73,276.61717946631273
74,276.57568489792004
75,276.96034553723456
76,277.2245077540732
77,277.5587896885016
78,277.94848205044747
79,277.7973773141193
80,278.0195798694578
81,278.1317745110928
82,278.5765060033554
83,278.8372203077007
84,279.1447051741119
85,279.63702429094883
86,279.98059082031256
87,279.91533714359645
88,279.3550603622045
89,279.79521325266256
90,280.2464014819545
91,280.4312528430906
92,280.12684482672273
93,280.4514583750668
94,280.9852124336438
95,281.1459889990651
96,281.3721045339209
97,281.29096186711234
98,280.82830899230436
99,280.6867181500818
100,280.960981893947
101,280.95433571318273
102,281.1106573642829
103,281.54045678815265
104,281.5267742711255
105,281.4548928024423
106,281.92973872779777
107,282.2384457580045
108,282.2893583900908
109,282.27318235218024
110,282.2734704955011
111,282.35458113189435
112,282.43531183748166
113,283.1531667073569
114,283.2132042257194
115,282.9747716398321
116,283.06808740338704
117,283.1317042424128
118,283.0486906133146
119,283.439838011652
120,283.8744144015842
121,284.0851842374883
122,284.867227590186
123,284.90642428927947
124,285.24096173669534
125,284.9394894591763
126,285.45246425530854
127,285.5576221694294
128,285.53021305442866
129,285.8496522821931
130,285.88215718065567
131,285.93603270441037
132,286.1652541983841
133,286.3263271494808
134,286.6908768873948
135,286.55420540051585
136,286.4577427790715
137,286.7124407385149
138,287.15786289312905
