Day_of_year,t2m
1,271.32574288131843
2,271.82001233223156
3,271.80120575733673
4,271.1933611747546
5,270.471209103837
6,270.4443925776033
7,270.6730692415156
8,270.6662561921992
9,270.2809781327207
10,269.8620001377204
11,269.9448796720586
12,270.4242810632428
13,270.5616298186473
14,270.45265933305797
15,271.017947100778
16,270.7562787960736
17,270.3565643049713
18,269.3783362885826
19,268.90674340663816
20,269.9115883851663
21,269.4926481719709
22,269.37682148207966
23,269.4924206855969
24,270.0785488813351
25,270.3385489830604
26,270.6918692564353
27,270.71816205407816
28,270.4835846208099
29,270.2541615804037
30,270.3906224959936
31,270.9146325787927
32,270.91502411671166
33,270.98784196641714
34,271.3729581001478
35,271.9000061035156
36,272.2235475197817
37,271.9011041885768
38,271.3006261059362
39,271.7701465052417
40,272.5463259705112
41,272.5917308187892
42,272.8169119549613
43,273.09894106612245
44,273.3190223106971
45,273.0313357100528
46,272.6863945072533
47,272.76250380817635
48,272.5983204637837
49,272.38256802029076
50,272.5972028161725
51,272.9477602445162
52,273.2705162374383
53,273.36399202265295
54,273.4862696721003
55,274.24519066443816
56,274.3884903084518
57,274.4823157155615
58,274.3321857158955
59,274.4359035394131
60,274.6037747635801
61,274.4433073125335
62,274.6170018122747
63,274.87204396826587
64,275.45515400161094
65,275.2149919819628
66,275.2807326618423
67,275.0087364261986
68,275.4113658415965
69,275.6300756992438
70,275.76870338896396
71,275.6549282758664
72,275.7094085171691
73,276.3074220836672
74,276.24100310496794
75,276.44135663937294
76,276.6460164127187
77,276.984325780624
78,277.0484006180722
79,277.09609961876504
80,277.4701699803018
81,277.904794546274
82,278.43014836759653
83,278.7957734458467
84,278.89500928047374
85,279.1568541176299
86,279.3259664160574
87,279.2116450383113
88,279.3690623487163
89,279.8670866354918
90,280.34085531642296
91,280.39544476892195
92,279.85134506877677
93,280.25531232784954
94,280.845216800005
95,281.3664311596471
96,281.58967136480874
97,281.19285987788805
98,280.8077457786625
99,280.57186221913395
100,280.70056843553846
101,280.7809294350127
102,281.239359902928
103,281.9937143700754
104,282.25922585511825
105,282.1587659265241
106,282.63003305288464
107,283.0274676200671
108,283.337455345219
109,283.4445861555572
110,283.4795155321432
111,283.4317478016911
112,283.2997898460453
113,283.57542596800715
114,283.7234628008981
115,283.6464643690321
116,283.8540560469668
117,283.47096748026
118,283.6851982703576
119,283.3630570110093
120,283.58590369591343
121,283.6958163530399
122,284.5576649983724
123,284.75282178047377
124,284.81333936381543
125,284.83491949097714
126,285.2445677406767
127,285.51367714384673
128,285.49051503238513
129,285.83194439227765
130,285.83777006752473
131,285.997497897678
132,286.51943941034824
133,286.98181848770525
134,287.426279051691
135,287.12440469855943
136,286.92074227618355
137,286.73324350210333
138,287.24901177822005
139,287.14953892373626
140,286.1508827926766
141,286.421103792109
