Day_of_year,t2m
1,272.82162885095323
2,273.17328094743254
3,273.0373352050781
4,272.7890826624683
5,273.21885109925887
6,273.6024901822081
7,274.0057374351045
8,274.106193738106
9,274.35869464059164
10,274.5562184651693
11,274.7074611305171
12,274.42810648078597
13,274.0675901233641
14,274.0265331561749
15,273.3788756802551
16,273.2763728997646
17,273.6037833189353
18,273.3593950581347
19,273.437796229175
20,273.3345111292652
21,273.54153893625636
22,273.07115353315305
23,272.84008538661857
24,272.6412078335754
25,272.47432913494924
26,272.2155987079327
27,272.3521307529547
28,273.01592788044206
29,273.1374080299312
30,273.04902784559465
31,273.28710392356936
32,273.26379871857466
33,273.4934026995277
34,274.1077759571565
35,274.1256543803419
36,274.169185931866
37,274.03595900576335
38,274.01585461217115
39,274.24456964476497
40,274.07743660690437
41,274.1963773026426
42,274.43890672993456
43,274.29914524697847
44,274.2220364301632
45,274.1270307491987
46,274.0425897581965
47,274.562636963934
48,274.4370896298661
49,274.4524891388721
50,274.9805901682274
51,275.15077079055663
52,275.5551357693142
53,275.52101656921906
54,275.57581904484675
55,275.58762517423713
56,275.7539001725678
57,276.02985245142224
58,276.1726603711773
59,276.1403542543068
60,276.5515613001636
61,276.82815066606577
62,277.14047504653274
63,277.6272717598157
64,276.79165782439406
65,276.6401418832632
66,277.24796549479163
67,277.36051367083166
68,277.86694283770703
69,278.29304733928444
70,278.27014968741656
71,278.6341454399957
72,278.79024757320053
73,278.95249404255145
74,279.1080854106153
75,279.2274030897352
76,279.8299569676065
77,279.7740228375818
78,279.6550141424195
79,279.2237027942625
80,279.5293446076222
81,279.15039479834405
82,279.2609630095654
83,279.62424047747226
84,279.6892229129107
85,279.5475854596521
86,279.34070439786984
87,279.86850017319387
88,280.54868315346226
89,280.6928243262136
90,281.4508733504858
91,281.6460746308677
92,281.5472482012887
93,282.21238966721756
94,282.84520644489515
95,282.11937782744064
96,281.6652286627354
97,281.6208274906518
98,281.6466595771985
99,281.8250448895316
100,282.25273935692945
101,282.2581069815872
102,281.9462078909589
103,282.04589236006785
104,282.24874784029447
105,282.70514497675435
106,282.99698410686267
107,282.80745620075453
108,282.8155729375333
109,283.35495112492487
110,283.6021858671792
111,284.0996055146568
112,284.6446450518746
113,284.9373548719617
114,285.0004194732404
115,285.5839041424613
116,286.012202857906
117,285.6660427256527
118,285.8219597449669
119,285.92706024952423
120,285.91363105447886
121,286.735891541049
122,286.9649836874416
123,286.84112856612245
124,286.26707630646536
125,285.6492119422325
126,286.2300375131461
127,286.65344838199456
128,286.91942198663696
129,287.14550118731637
130,287.49425893930294
131,287.9086343618539
132,287.74024658203126
133,287.5264671651726
134,287.57685210399137
135,286.7061873737564
136,286.77488700671074
137,287.5206928742237
138,288.0884443495009
139,287.92171466533966
140,287.5606662587223
141,287.91965058155546
142,288.3986135368674
143,288.8476347572783
144,288.8311860695864
