Date,t2m
1940-01-04,266.64198219383155
1940-01-05,266.99171442164607
1940-01-06,267.8533319606012
1940-01-07,268.198008331187
1940-01-08,267.0088865957854
1940-01-09,265.65000311882943
1940-01-10,264.3426943489047
1940-01-11,263.8386825729202
1940-01-12,263.66274504609163
1940-01-13,263.63901086604636
1940-01-14,264.1850113641648
1940-01-15,264.69904559348527
1940-01-16,264.41550420404786
1940-01-17,263.5339195614769
1940-01-18,262.07700898446444
1940-01-19,260.69207568046374
1940-01-20,260.2449553772643
1940-01-21,260.13321520906663
1940-01-22,261.0994102282402
1940-01-23,262.9290361788683
1940-01-24,264.8081444261711
1940-01-25,266.5128591907767
1940-01-26,267.6694745074262
1940-01-27,267.3756390805646
1940-01-28,267.183832077753
1940-01-29,266.9092331212082
1940-01-30,266.8522778186169
1940-01-31,267.3197000245035
1940-02-01,267.97557811248
1940-02-02,269.08211889022436
1940-02-03,270.5784466083233
1940-02-04,271.8456673534798
1940-02-05,272.653098193717
1940-02-06,273.22399175734745
1940-02-07,273.48390214521805
1940-02-08,272.10995516934236
1940-02-09,270.7960483425266
1940-02-10,269.2011542128119
1940-02-11,266.7009560721261
1940-02-12,264.2133597908439
1940-02-13,262.17047052069023
1940-02-14,260.6482723920773
1940-02-15,260.7323142250815
1940-02-16,260.8995909079527
1940-02-17,261.6483653980297
1940-02-18,262.49608508658497
1940-02-19,263.8078813378191
1940-02-20,264.9813786880437
1940-02-21,266.31065329527246
1940-02-22,267.80806835579784
1940-02-23,268.9257415659698
1940-02-24,269.68509458884216
1940-02-25,271.26246067368504
1940-02-26,272.7733193421975
1940-02-27,273.52606033492873
1940-02-28,273.1363118489583
1940-02-29,272.4782480093149
1940-03-01,272.6724636650784
1940-03-02,273.0531173538376
1940-03-03,272.8506888924064
1940-03-04,272.08151379260386
1940-03-05,271.5846334045186
1940-03-06,271.86455784612525
1940-03-07,272.247323396005
1940-03-08,272.319092244019
1940-03-09,272.61928907680857
1940-03-10,273.53863480676216
1940-03-11,275.0853354206015
1940-03-12,275.792244041359
1940-03-13,276.26901312188784
1940-03-14,276.8852994031522
1940-03-15,276.58630259307745
1940-03-16,276.34381025265424
1940-03-17,276.20289550334104
1940-03-18,275.7919260101877
1940-03-19,276.20189166505696
1940-03-20,276.88603573753716
1940-03-21,277.55611623687184
1940-03-22,278.6828195201608
1940-03-23,279.83606985462455
1940-03-24,280.6719048468621
1940-03-25,280.54476794567734
1940-03-26,279.7962659898695
1940-03-27,278.95658119956215
1940-03-28,278.2129969334864
1940-03-29,277.5426810128348
1940-03-30,276.65365511157137
1940-03-31,276.2026883638822
1940-04-01,276.7650065998455
1940-04-02,277.70674004746877
1940-04-03,278.3038600600246
1940-04-04,278.4115119906136
1940-04-05,278.47996157691585
1940-04-06,278.55713449555003
1940-04-07,278.2628979805188
1940-04-08,277.7564019842462
1940-04-09,277.11276256295787
1940-04-10,277.09677146380636
1940-04-11,277.29434360601965
1940-04-12,277.848396944039
1940-04-13,278.5628646459335
1940-04-14,279.40783132476247
1940-04-15,280.51489134847895
1940-04-16,281.8116039234203
1940-04-17,283.0559635371952
1940-04-18,284.20419266809034
1940-04-19,285.25753627679285
1940-04-20,286.18427743317875
1940-04-21,286.9846530117831
1940-04-22,287.4178270053514
1940-04-23,287.5666266919929
1940-04-24,287.4363849346454
1940-04-25,287.2909058511475
1940-04-26,286.8293082548148
1940-04-27,286.2285780015882
1940-04-28,285.496839027265
1940-04-29,285.05197668948887
1940-04-30,284.9469790056948
1940-05-01,285.1924575973343
1940-05-02,285.28512517349185
1940-05-03,285.17382454784797
1940-05-04,284.950430733817
1940-05-05,284.89018523387415
1940-05-06,284.882583450485
1940-05-07,284.96041993081786
1940-05-08,284.87548884017997
1940-05-09,284.70367319854626
1940-05-10,284.6144472897708
1940-05-11,284.44991942465083
1940-05-12,284.41465966081444
1940-05-13,283.95857959789237
1940-05-14,283.49624086037664
1940-05-15,283.10313477009646
1940-05-16,283.05129378881213
1940-05-17,283.36287121895026
1940-05-18,283.91406998966204
1940-05-19,284.5016822675209
1940-05-20,285.33764234829295
1940-05-21,286.1819194192851
1940-05-22,287.22147500733314
1940-05-23,288.2741942912231
