Year,1,2,3,4,5,6,7,8,9,10,11,12
1940,5.646734594805759,6.976669449345531,8.87847561023766,13.137801634959683,18.658469740470842,21.705234675937223,24.235059813096374,21.617475765613214,19.544814291163387,17.21823135459591,12.187437345227629,4.955463410311242
1941,8.19378386981434,9.100752971547864,9.852700077866206,13.167380717880706,16.414798207279077,22.444851594908627,26.39164834144788,22.048111675789375,16.76170974837409,13.978014752330417,10.879940343514466,6.993031099870049
1942,5.849517273843733,8.470172464192569,11.22248024936547,13.722407795425154,18.011005919072332,20.7853189631405,22.49363403067892,21.093420647904342,22.811947207980683,15.110001879945285,9.730613261817867,8.88805013850664
1943,6.832447533078978,7.616438500501297,9.467320294691767,12.71330169245728,15.780648123833439,21.2754922695649,24.708984028711317,23.376026078627266,23.312562990596152,16.196855984806916,9.506045678334358,10.319008604764347
1944,7.807364775189886,6.5481650550941835,7.4926772482440525,13.091571939093432,17.03830367420408,21.819073311080277,24.926533697458023,25.732572786664058,19.081044824714336,17.30991720068642,11.964169776949108,7.934870940284161
1945,6.036207303515734,7.968274160182519,9.553550728300173,12.82234367590684,18.516596487280353,22.673255691365295,25.2547394813241,24.37596582912827,19.30254529154199,14.394141688634779,11.34940666785607,9.958070429422527
1946,7.543844178158748,7.93740077333136,11.151549097720604,12.706092886231906,19.267844666322464,22.372758466769486,23.71307450034975,22.99158289651421,19.998487732145517,12.72633033177397,12.62330901765416,7.806987164629898
1947,5.9683073343966395,10.827338920408119,13.023352333886058,12.885678299268086,20.285468035241223,22.72113414666591,25.760383736111095,23.45222686202788,18.455589543856107,12.752669240542934,13.142540083583604,8.83427394116783
1948,11.471466680712897,7.1604262725774195,8.325662544781359,13.947718144685798,18.972369634976953,20.270020662617476,22.48177227291615,24.643868555995038,19.76034485988128,16.87663039222446,10.950938101100103,8.219124897636592
1949,7.970952382947515,6.515433700530083,8.01744989849892,14.087340749430862,17.89464435033112,18.883598101852286,23.55184088471115,21.700540729551104,20.100759527418347,17.776093852135443,13.45273744102217,9.798657862187616
1950,7.635306958623716,8.734912468181863,10.211446365312272,13.02170673068772,16.226645771386313,22.603676519638455,24.73309028868443,21.889496366281566,21.357531074784756,14.104170312558058,12.611645264299508,10.20237536820821
1951,10.37545037506236,10.079810831354653,10.697263424804722,12.106089686532306,18.17890111546165,21.903496001316952,23.885211259890827,23.336789810332117,23.846807911049602,13.489852592903688,14.509232208056327,9.325888429031181
1952,7.623240324955919,7.436878159587637,9.795782471413059,15.658156992023825,16.359056336708164,22.23336314095391,24.889036714192557,23.62844070784804,20.041234971722986,15.765437440107045,10.101707696099567,9.532765294225676
1953,6.936346012861695,6.862841913660804,6.411899553634983,14.153817567254743,16.95999060039978,22.835167901943894,24.610676043678453,22.190300166064585,21.328309561656067,20.522803097938677,10.131680307632838,11.188040732942996
1954,6.071866494254498,7.385504189428393,10.999886797517659,12.473673340194246,17.346771821589186,25.156181854671903,22.210581806299608,21.8962378813473,20.685431740834158,14.066073578186922,11.83912909173558,10.189939288288429
1955,9.666901110419564,9.367194911499164,9.697045270818831,10.616368257286204,14.641518865369195,22.185703059139417,25.55593015341052,23.50715531190631,19.26491745802072,15.996690401269742,11.287689670538294,10.738945299579253
1956,8.87944883744119,4.492435609137183,9.321645112250637,13.093797415545863,17.136686002843334,20.911822000324214,24.569484273691238,23.777695064213383,19.082173305902725,13.888726725866224,10.626349564902801,8.712966000373154
1957,7.502055206606465,10.815682643499132,10.618465899533728,12.888911139251837,16.184204537578612,23.6168369309515,24.64190168672598,22.347073363311235,20.710698470091206,15.95798855403714,13.82230916288164,9.157642359571874
1958,7.846621920492551,10.810615858315549,7.6796104858688725,11.006443516413372,17.67608210861042,20.573227544931267,23.335290147609413,23.482611919652335,18.334078256085387,16.25525103490938,14.471356841030284,10.30453402015964
1959,8.015720725749718,6.1877851880295385,13.45616768883515,12.986491124446575,17.09098676061512,22.860906282245608,25.666033342517633,24.493739398675483,17.559116206617436,12.873021148669018,12.622679436512481,11.782632667235443
1960,9.065138555342152,9.51039817132356,12.078511933436364,12.799844375023474,17.667598985856575,22.4305337539086,22.951897973753976,23.808370228933835,20.151517613728842,17.612930839765756,13.637334614533643,11.30888448972363
1961,7.791765809552151,8.830573057298695,9.313619601815272,16.182597717872035,16.590360435599433,22.791260244092378,21.849632440666404,21.927003505508008,18.97442127945077,18.36571039376523,12.778515569572773,10.225660319561007
1962,8.673373630758748,7.476964634416739,9.715587310006146,12.009567592490434,16.911725427218958,19.977797791081617,22.72343259532162,24.815479045075953,19.282231322720513,15.509668206261445,13.002848965897522,7.320322682583401
1963,7.544231261469491,6.869440036924766,9.490857431275279,14.138701635344416,17.59290823017496,22.851854669130766,25.492714490645966,26.15421473674285,23.277876985174977,15.33197092398619,16.036159500301395,8.999377602087359
1964,6.154359320355805,8.593798261313212,11.833746111422556,13.389439789454144,18.886958024046265,25.231427226922452,24.4340462980436,22.64488209171469,20.29565831371862,17.309911238841522,13.723938137038141,10.572623329975075
1965,10.300620273877215,5.767369823578077,10.018618867060091,12.133313513413453,17.072512459814103,22.16564855086498,23.759690597098754,22.239293465247517,21.43876589343079,12.303046194554558,13.19885417253543,10.52687082949308
1966,7.345365503191258,12.498758343549872,9.44190845674873,15.503418749214235,16.138165791040613,23.138881712693433,24.39488103391712,24.790730176630646,22.0298469282623,21.365744585631994,11.360250147998846,9.882581694841976
1967,8.429296719919462,8.73483707900449,10.942543464420847,12.431978684612828,17.55846559675988,20.694039397769508,26.147793403827425,24.988857752829173,22.673136526091483,16.98873540288264,13.840109500721988,8.289044698572434
1968,6.8696211868322425,10.946282586335263,9.132369156215088,12.598522821858401,18.137643297020322,23.297307296492093,22.85112669844584,25.26050830774804,22.198348898765364,16.99053733579574,13.637475913202662,8.288566660545799
1969,9.62376067695586,9.160165273662887,10.387408355723935,11.676055283016629,18.207547265108804,21.01835110411685,23.065025974838473,25.044688612888233,22.628268338064863,13.918702734906978,13.256720232963563,8.446157351912696
1970,10.502810520017512,7.954610990953968,9.905525113848046,12.31806521374955,14.634094690665222,23.299665896912924,23.752307364130136,26.545294395648718,20.32326437550732,13.951976865653265,13.182534286303396,8.762400389703666
1971,10.607192125075903,8.185327564185355,9.398506312058721,13.723737925749557,18.04967819983748,21.839911869244702,24.692415964711884,26.140344634738412,17.998173752401627,14.020158435412931,13.316352605819702,10.852305576365483
1972,9.821447752644149,12.42688427521632,11.763262835882042,15.063492054817006,18.260058376195513,22.254996624971046,28.231621896855792,24.45718300411581,18.349044787578098,16.10222931988876,14.286482940576013,10.42940119596628
1973,10.11194900306815,8.560511613066817,8.971138391542079,11.679696380175075,16.578314633681025,23.110794954218417,24.573356381519652,24.83162351123945,22.155803901313714,14.364990302212876,10.308646604953669,8.852652343173377
1974,10.9586029468833,10.342178377039705,11.586775740283494,11.550926472182965,16.25211378402016,20.69842601270757,22.767783535719904,25.46865809703288,21.18989979670598,12.754354033221675,12.064627325025379,10.040662848919853
1975,10.235384352252542,7.267548680851313,11.29458395817538,12.279875451682978,18.862079603796264,22.002821000824632,24.741126553493658,25.572107967411416,22.457459555731877,14.938467939201715,12.032236067046467,10.418514971697597
1976,8.225858821861008,9.310686670380196,7.947172128040007,12.152614805025934,15.951765287208403,20.38293642793965,24.477911983865464,20.815549352723174,19.238436010148792,17.458094676927264,13.083111452852558,9.591823853965234
1977,11.204354575688036,10.843858404255611,11.654990941064234,12.039625758391162,16.849979153342044,20.261840724129964,24.31773360215306,24.368202174764907,17.54503915656326,16.63324011328597,12.18117063269656,9.07024186400957
1978,9.210848891113887,9.499697886980499,10.230142616259352,12.520956183294967,16.830514785570973,19.920490225767484,22.526268409243094,21.93906008181639,19.886456097496882,14.735238279558784,8.59883915624048,10.433632848280535
1979,8.386538036112157,10.093082541511171,11.732248566188135,11.233206709022198,14.488262529507267,24.196759759462793,24.230450989886485,21.980656618318648,20.215475846967127,15.41017070420031,12.492269606060452,11.054671419662714
1980,8.086883900676312,8.32489640808804,10.267653769161015,10.440168046136188,15.83955992895084,20.660014877971424,24.029379067685213,25.50702762445997,20.36344350260547,16.495360327910745,12.673249184575853,8.468931383885463
1981,5.921365304561169,7.460906989626833,12.40866408454573,12.029523446417265,17.263387699379617,21.811926930582427,23.085935804841935,23.534854100103512,23.224726976084913,17.649112093635978,10.16364843050639,9.796625393101557
1982,8.132748890751348,6.508065858166735,9.135206639815992,10.794382765761808,17.690310738518573,23.315552248506457,27.31040660678305,25.811037860299262,22.8776179753817,17.089120709472102,13.226837324281023,11.179445356253854
1983,8.977407288018883,6.797479710954449,10.499141647166903,13.44618497465411,17.041023364828284,20.29087998072306,25.726847042812594,24.468805333619475,19.950154881599623,15.687022136596731,9.659749062040934,9.647495042991798
1984,8.317814093172501,7.867387819421162,8.880933539151554,11.42412043921968,16.336706516859056,19.883133845043993,21.40771357376187,22.716645039636507,20.78680705535106,16.963776328131818,11.950234338564751,10.17320003481913
1985,7.356068230444386,7.950268690402689,11.035303760698945,12.05589422731318,18.126975937457598,20.800193590180484,25.010532864270083,23.387653135484264,20.806480709304154,15.581631845832366,11.958207920677642,11.767610701773162
1986,8.006972829599436,7.357596527634959,11.069217852268265,14.17700265289372,20.2157809957184,22.267090591202436,23.52017406829632,25.667560644441643,18.98300163073418,15.044239184992485,12.131679191344825,7.430469663799842
1987,7.836484773874874,10.03293699506438,7.668108236109354,12.412308161890405,16.118576944318065,21.538192290933715,25.39368020571195,24.868854548735886,24.35161958311358,19.75174257082817,12.729978381670438,10.75248890143963
1988,11.012470660079503,8.400714810951289,9.347670547029416,13.036071006864564,19.137861642293245,21.27513037869054,24.507458380769364,24.233147191251966,20.19799398846096,18.639673515427106,8.824935355349483,9.325082820737729
1989,8.085090465443109,10.078488753392147,11.762003199141121,14.444077921728802,16.859826363247223,20.916581761938897,26.804313246330224,26.16637506713741,20.988419480609082,13.620812761576534,10.117062602491457,9.883097351632697
1990,8.260870485980218,8.94115553496085,10.307439608648851,12.587639202215732,17.781161686524165,22.933003044943526,23.015382995479264,22.756820011375556,19.806615753662893,18.802821385357575,12.028611082908437,9.007512745135477
1991,8.1360877621164,7.432676125249584,13.077396655496829,11.822825183216322,14.407967543385062,21.26520939199333,27.54683380584465,25.428571738123992,22.191027165274324,14.627697059199077,12.520696625342735,6.749319580786479
1992,8.609898242406159,8.200314933782096,10.014247821519158,12.488059751396507,17.15238522339498,21.451005335750743,24.551464035848227,25.128602494081257,19.827935101843288,17.924081184727974,13.498517907786576,9.469845851065207
1993,8.597276481446201,5.985150465707639,8.883114603159347,12.713836633649647,18.182355761626614,21.924594299609847,22.890135428252748,23.451532503511416,20.82455631973397,18.163255894253133,12.340335041844945,10.35780333388039
1994,9.697958035642595,8.771472092185702,12.52393611824345,12.568952048538078,17.464908008638545,22.04631684458154,25.870186169942226,26.819556886248588,22.76822111260178,14.712608943999157,15.1699098049066,10.314509770020265
1995,7.735417686877318,10.534831706420842,9.219476568294619,12.455381382836235,17.260286392704135,20.877802264384734,25.987942237317615,23.592405781457988,19.47339421011444,15.10688421980619,11.426659102521391,11.389823852835656
1996,9.56012749238089,7.1485563050477925,8.610557579816719,13.433637564813989,18.89335065799079,20.400552487169577,22.823101561950985,25.00034065577884,18.397069817730504,17.287189689522638,13.593807166050643,10.116795208308199
