Day_of_year,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,10.572521844626346,5.337855655631739,6.276572145385183,7.00097175570198,4.390286967867897,6.2609441586029835,5.723422682765639,10.219916396961978,11.974297276346674,6.571992413901585,8.863220239296938,8.107662848937206,11.192977948939843,5.156711091925373,7.550345326517964,9.18012452736879,11.200313127957857,7.240559156997737,9.771671804316316,10.504947784619452,10.415993667784191,13.965774254047828,13.576699567801786,6.348498388087794,9.097600475772397,8.63591445234669,9.477837172183362,7.063698173005939,5.999815832564245,8.568366138053026,9.46465808742649,12.552285996112193,11.323311907904486,12.264695253127659,9.541353788131321,9.610361933271527,12.081195500307466,7.466220852219577,8.763055201415177,5.290748081801138,7.982245067973714,13.614467764075423,8.195794218189114,11.137730133839142,6.3120495181380605,11.773890283954886,9.691998912301255,11.291621016058729,6.970221610296339,6.574888888732855,12.859548848190586,6.6259283259674735,4.208736360291422,10.020915246271825,9.327548092538182,9.533910333018598,9.159458541171453,10.737465592967721,10.721381961207687,5.795461607503367,9.872141673014713,5.690796623299847,11.981671383966018,10.138041153932228,7.787762323141971,9.07918259861705,9.889338442694134,6.603783623202816,5.374817296262189,11.051267881533164,6.457799980491945,11.192873044765038,8.91678908980373,13.118942044156812,7.44234320619604,8.432684518478728,5.592167794049441,10.07903425510113,7.23683205367008,7.0706897017719985,10.965963323474366,11.701255471715122,15.072555915776626,11.37300232129219
2,10.962969173878538,6.336674154023111,5.847834075326883,6.178307845042302,4.711710532506307,4.8006528581018415,5.037031942234807,9.643096833875328,13.435982167939127,6.434439768284668,9.63139367365575,7.563078946682996,10.791712427313946,5.326711115819631,7.9123592638707425,9.342628912174657,12.361848010248316,7.4997651498396305,8.382510845477764,10.605871106242084,10.295736164400429,12.288450451560948,13.484129039359178,5.679824523436718,8.580712417979816,7.688144093468075,8.531878306315495,6.956998683594085,6.932995234653626,9.807726122957446,8.765514958909142,11.935941449888459,12.095824811048121,12.39480299303383,9.293056051373046,9.616556891591557,12.860482235967893,6.623125169740055,6.983406647221072,5.415674166801648,7.826539419509552,13.111757365775196,9.48870544468527,10.287488677999477,5.529587757019769,10.035785567629468,9.363554249753006,11.767509490142377,6.567470102519778,6.019377587915776,13.018460287715927,6.993794057832096,4.144775886675377,10.749168961912721,8.11428836064461,9.284006857610011,10.150878654731498,11.073446661561398,10.978919733138312,6.069837178939427,9.959883776339854,4.7177432867196885,11.56164477945684,8.580554867838766,7.554492877079889,9.613281346066094,10.137139645251597,7.898349499091123,5.449145184331761,10.810576427550542,6.1386420499710805,10.96333504421807,9.900236220586866,13.585915817009221,7.969003377816615,8.512486715456506,5.493871839928539,11.51842018972823,7.236025480996995,7.178861301023882,10.756329057854172,12.386979482112785,15.254429055657578,11.67660457834656
3,11.086469433683177,7.223309956190787,5.4693693940019426,5.367650890525007,5.4041722143962705,4.098214905340592,4.547653751932221,9.53937190880269,13.374914024339054,6.290909013468704,10.361024804167695,7.343391225451515,10.471587107731745,5.361966829160194,8.27255650579711,8.528807383317213,13.295890102456342,8.239462207961868,7.981502581865359,10.469257749480642,10.103530791216281,11.215986208164649,12.936402928698193,5.097702203652797,8.825839825165577,6.712316339269226,7.805112359287974,6.771584088112408,7.636225434013339,10.77118326019455,8.184072173122084,11.361582506270635,12.328302942352853,13.055327193640963,9.798994740287025,9.877474970869965,14.128089721386248,6.197392702102661,5.751392152719881,5.869058260550865,7.4502053269536495,13.017824993902073,10.992834719982776,9.555496497905299,4.44136801569453,9.323104693339422,8.695301144114344,12.052480709858429,6.797767906398563,5.175959696263183,12.44945949337858,7.548666568902822,4.471568776574327,11.311928214607658,6.7561070919036865,9.813599469460847,11.037083245022393,11.263783790253019,11.09265821757334,6.431909914855118,11.689702157135846,3.6977921763619217,10.560191456651511,7.093881063845568,7.872255380337054,10.617026678371777,10.736622281126921,8.754554499636638,5.6789972590002815,10.133218575746584,6.621396256017162,10.606835143470065,10.630303609938847,13.727191222893012,8.644965876589763,9.262106599388542,4.9785918189492415,12.26535850042825,7.136296612002473,7.086762230038207,10.502801275078628,11.335706850547929,14.346768784435678,12.84814962275299
4,10.786683500031412,8.237505718901918,5.247709075173178,5.5761647556290965,5.976622238263978,3.658414763408703,4.135229651307885,11.23367156650557,12.980444667103527,6.608370614139151,10.77107605567345,7.448292801231691,9.639146479931505,5.523847769468259,9.543820359331347,7.767803871587955,12.34702712886936,8.54948398045131,8.757689641945527,9.820727150955479,10.423342664599856,9.60926409256764,13.684528064378451,4.966914481732434,8.947624891232222,6.198672587181623,7.631154402708395,7.001425718649839,8.076629081488528,10.843572206112928,7.800373489603453,11.041055125631253,12.223208106044448,12.158458961235299,10.542016181317004,9.628085664777092,14.836637145870334,6.805519059464173,4.138400755959116,6.157335727642744,6.925689771498515,10.995315012914356,11.811207711914957,8.712864722961033,3.7560307433753657,8.58808404360062,7.783528915691726,12.824058391235685,7.375929556486806,4.57162819982885,12.096297877175466,7.927924939564296,5.673628488303104,11.64451702523144,6.043304309740171,9.93011571199466,11.598986108661133,11.006645733620221,10.963064693269272,7.028718217388613,13.89883673147404,3.8871399413098344,9.524449198237269,6.303699231409764,8.057745412155821,10.487253506978353,11.081467406653658,9.34957274150499,6.099160108810816,9.28355140214438,7.925596936718447,10.601981318477309,11.288541114373956,14.075710277417642,9.37143519509843,9.850341321784498,4.760202853670923,12.589196542243815,6.9741509799118875,6.684986340693939,10.362703567896132,10.328666343793762,13.394054217216295,12.917894113631474
5,10.164072861164916,8.81177383639437,5.892712060348455,6.263436127058315,6.181963386989775,3.345216298277998,4.147818730427669,12.714182233635759,12.919990869668812,7.111512160563207,10.883138607709835,7.1089477355663595,8.775607792012421,5.471684126626877,10.802049417635459,7.831912040710448,11.448480134481912,8.30551786038465,8.891058696495307,9.664558459550905,9.94656434775272,7.465974420854897,13.592054031707427,4.959818634794745,9.163636633764693,5.397632582283718,6.909626190478985,6.268936240192733,8.887172728667766,10.324250933014865,7.784258804041824,10.866274807479355,11.418937885717593,11.385144932366115,10.145886932973896,9.455839084618258,13.741794193183981,6.9650456084436545,3.658843908991132,6.450335186479728,6.228937618025055,9.285790208495142,12.103125694470528,8.619669527361243,3.3648859576864556,8.218649512245541,6.289396306097288,12.333643581404353,7.88558282083644,4.318688030644651,11.895592656327691,8.289639632780473,7.05183246022179,11.873979547521568,5.2639307504171855,10.780115716186634,11.201254331148586,10.502069663652131,11.285609790257041,7.3645781955439515,15.54427766625261,4.525084812999208,9.169697621803143,6.102963435344206,7.562302364097846,9.208457457713592,10.568374586629343,9.664526372602133,5.480804120227966,9.521732663060282,8.839709712472153,9.754720087016459,12.179229683928435,14.684118295327211,9.370935026105943,10.379591837034122,4.952486344309516,12.411445619422436,6.952099750330159,6.703538113024645,9.887211156852079,9.660055736045697,13.014043455158834,12.833879055121006
6,9.04187747585031,8.846324861267984,5.304709055484869,6.125229631151472,6.258999641125019,3.3922067374100178,4.295373440662146,12.142087457817553,12.541631220024582,7.557711786402887,10.56410512295398,7.130092544870061,8.09800506773449,5.6161656842563605,11.902256390987297,7.565060681912488,9.721971929291666,8.47435711417006,8.166149485242236,9.257367167280705,9.280101837256016,5.766168673833211,13.255613969795867,4.799150862536587,8.645808537801106,4.920435714197682,5.857609242310017,5.883270613003125,9.125314539605444,10.988439688315758,7.634017257900028,11.209383763673104,10.268449729178851,10.938819162138216,9.489920672042901,8.678517235941065,12.568935591659265,6.798322334394349,5.462755359136141,6.7326401572524395,5.591626529291872,9.16704009042118,11.5142772372389,8.363544849249031,3.227828666404053,8.10010468392145,5.272540402499747,11.364735507266426,8.090089233803662,4.411165529555017,11.888026413900073,9.305293644740903,8.057184012381585,13.05594737014491,5.475270762985006,10.938945228800232,11.192129564809274,9.58310826619466,10.668089185442243,7.464718933070535,15.040629547594229,5.160369129407973,8.606787463247557,6.771858196118812,7.566059439173547,8.226661710948733,11.369709142398484,10.264506982796357,5.117652187853942,10.013026170241526,9.344219150997343,8.894081634479564,12.1394561620859,14.81014416593335,9.219103273454603,11.539051296946766,4.753199465982206,13.732956378014533,7.0834921559134685,7.583148374662294,8.793339365131253,9.597893832804083,13.462637178190462,12.292194060790232
7,7.399361265447987,8.646417664957571,4.97940134871137,6.951457564210717,6.524339626996946,4.563364039847266,4.6408385785071395,11.316233662895229,11.314367558056617,7.933461648640614,9.943599390022921,7.059629392274569,7.645760102149767,5.74017140280196,11.94913408258459,8.203489256429146,8.567944903950115,8.304934014330852,7.226656563552745,8.003615402913354,8.745934060205034,5.55049300019121,12.5251008163005,5.093536706197829,8.240356452299125,4.547533340069837,5.32459777004116,6.0585881135402575,8.961210077935522,12.3305045405587,7.970759875608451,11.044240513127367,9.330750699445003,10.902977328597407,9.20623268749251,8.235844410382784,11.572609849028535,6.570941087527153,6.808164217969873,7.10432401943556,4.330695793742225,8.968825660782418,10.944389078643296,7.2297478665362345,3.1888623119710564,7.471295148025065,6.0375378009600515,10.157882811822297,8.928842431023007,4.414867251347273,11.606874879899916,10.538248226319476,8.700747812187279,13.794619071177946,5.855625448646125,11.789862262460339,10.940469165424725,8.408925954238834,10.035637497465252,7.873961742981012,14.681760843856866,6.084170138879573,8.601808050176599,7.241700397742973,8.146707091139348,8.010733179120352,12.940324842711506,10.556406967805856,5.253863969128647,10.902774222167857,11.031315427123408,7.888254621526697,12.040251967671153,14.741593049996064,9.360907189575306,12.225612787099983,4.350255633885171,14.156419460590067,7.461061977204822,7.5996966257200125,8.363041120571094,9.068882646141473,12.169363000890709,11.50930875037616
8,6.3751719172620955,8.331913921859238,4.825122356851459,7.0445394070593865,6.791576571516939,6.23244658712939,5.223781456440795,11.252761131677872,10.287475930028782,8.815423684242443,9.574542314578327,7.671779974039657,7.45501062197563,5.781108466696826,11.652409598940894,8.357712841732598,8.11009861174084,8.954293775034474,6.926651960764176,6.913802692741702,8.416177358382788,6.765854222433907,12.479996499561128,5.253050839071308,8.847127254192646,5.003613435305081,5.411179725067083,5.734802821616986,8.438376182164902,13.188742603574479,8.781343652215195,11.113380236503405,8.860692532507926,10.90872410540179,9.177527831150934,9.278540478521213,11.172088829152313,7.071805867520007,7.536261956333677,7.480770547748048,3.5059143776422017,9.136142397974874,10.290173164654128,6.087957319322523,3.1133434313994184,7.806351753381581,6.972916618808285,9.982296085183,9.911697128316858,4.694939017295837,11.933306901882856,10.81095842564062,10.210490659043028,13.665592011951263,6.125508910133725,13.370214325167757,10.810110476427463,7.828339852692879,10.345769747709618,8.39852544763586,15.063207074399394,6.736915071368653,7.672887534885615,7.879205441736913,8.009609610169797,7.6790493076100885,13.049899758000077,11.039993785676502,5.3077366810578575,11.158203598343844,12.498215715527097,7.551369714212941,11.364612397693453,14.143607681050842,10.275843941685045,13.249316807631606,3.866140558169438,14.092013795733887,7.454688638994544,7.405338879469987,7.851063586853362,7.650043332096421,11.52145219809843,10.994946729569207
9,5.690584194092524,7.701191272491063,5.588230548324166,7.793601809840498,6.605571665606655,8.00235985574268,6.377487954639253,11.175764670738806,9.32945368490813,9.098127529297992,9.749854699159279,8.349316473845597,7.03096401822436,5.852733865325704,12.044342219174563,8.028577870938367,6.855053194276579,9.681179762759925,7.253292676730033,6.929922971096667,8.86873746354938,8.385964639894254,12.037193469512156,5.551060659108144,9.701573391100425,5.524327492102597,5.401026806988559,5.020639235720092,8.19855153953636,12.927422835276678,9.140444034185165,11.315206807174961,8.823578324510063,11.085954776177038,8.932399330558358,9.521402526687787,10.634697812817471,8.562729611938252,7.757989134107317,7.038230012188027,3.7109978779768324,9.068069642280047,9.129428204162652,5.696483551800905,3.099770453823355,7.9689957458021,6.331515184688917,9.050398415261572,10.574714630951375,4.996267895558815,11.990132253248612,10.262481390774903,11.91784043015141,13.820720752953608,5.850853454499017,14.899210194528322,10.744571200220575,7.558459105509104,9.822196770063687,7.916131785501054,14.886955893520032,6.93539080777011,6.506588935852051,8.831098650837992,8.117483389683258,6.940392989378709,13.073012566828464,11.294456013829716,5.258904681974277,10.848463343176649,13.377983496739313,6.9981712107256655,10.536497250581398,12.7162916354644,10.168302791022557,13.07866066104763,4.755150190203181,13.285108105166927,7.410460913137638,7.410148622352125,7.300764955443777,5.952542202813285,11.240841876019486,9.912851431430916
10,5.1690685731587385,6.887375873523754,6.663605993483966,9.019364760472223,6.249082768793071,8.36548999552325,7.3284811065310524,11.664390232100153,8.471102185301728,8.70168776826544,10.377478693867777,8.473525720638232,6.538148638966319,6.010410815368205,12.376133600870768,9.241515465271778,5.792794271266503,9.800883265205355,6.697014963233863,6.3496536274096025,8.65088614876017,9.904964376281905,10.790961319710307,6.150761332704033,10.364010702559362,5.939298786959805,5.311966098708547,3.9451612618379976,8.95687272871807,12.939891718246123,9.370090166727701,10.859446532560355,8.515869984259972,10.698299189626951,8.472067446935744,9.35509449396378,10.199199889605735,10.112250298370808,7.739869548287583,6.22728393191383,4.716116321392548,8.091000411973331,7.894388032046866,5.956534260795229,3.6890627661030804,7.807791619073776,6.519686328622447,8.145686262256497,10.599252947084196,5.382660657494933,12.524700583992422,9.781807391198127,13.052704947335378,13.627896071353675,5.62209292209192,14.866639449919536,10.52899304763738,7.5235097347161695,9.990963714026705,7.529319371059263,12.548184275190472,7.550072536363706,6.211378254733242,9.77262592141008,8.204489513194606,5.925899900359548,12.725768003708275,11.59153667561737,5.933842244602385,10.300766855805783,14.242666433145711,7.309611505641169,10.181806068280677,12.111410533988868,9.80197984220344,12.45762881953201,6.4112838205400395,12.781229925679636,7.621798758978372,7.261163183184332,6.7890302296523215,5.909309756624829,11.426679691552241,7.8534026966863495
